term,statistic,df,p.value
till_id,1.382147645645079,2,0.5010377543149129
cctrt_id,5.264431360605961,4,0.2612250877920529
straw_id,0.08120902907040659,1,0.7756656093868781
yearF,4.708875613909915,1,0.030007271615533005
till_id:cctrt_id,1.2327366419823174,8,0.9963078416413131
till_id:straw_id,0.04596923978347437,2,0.9772775142916639
cctrt_id:straw_id,0.1684442719892429,4,0.9966463047741994
till_id:yearF,0.09928353612010442,2,0.9515702463057718
cctrt_id:yearF,3.7966005245113577,4,0.4342322222994938
straw_id:yearF,0.4472154215283044,1,0.5036602810614951
till_id:cctrt_id:straw_id,0.5287023230878003,8,0.9998351536024656
till_id:cctrt_id:yearF,0.9065447377917472,8,0.9987726634147083
till_id:straw_id:yearF,0.003520098083982756,2,0.9982414989360182
cctrt_id:straw_id:yearF,0.07875410070877815,4,0.9992447786121661
till_id:cctrt_id:straw_id:yearF,0.2860191201687157,8,0.9999844517387226
