term,statistic,df,p.value
cover_cat,58.41114967978089,3,1.2841652643931291e-12
till_id,0.041360913808153855,4,0.9997890848276385
cctrt_id,8.301291549994824,6,0.21685042620004524
straw_id,0.17764331638002104,2,0.9150087433394672
yearF,0.11603619282631218,1,0.733373968281678
cover_cat:till_id,3.204567923339746,4,0.5241934646495374
cover_cat:cctrt_id,128.46204951322485,8,5.8930611547307165e-24
till_id:cctrt_id,0.03446601653625923,8,0.999999996375505
cover_cat:straw_id,2.3884804019514685,2,0.3029340357479777
till_id:straw_id,0.0032101594830195807,2,0.9983962077100655
cctrt_id:straw_id,0.12229008840937051,4,0.9982051239920487
cover_cat:yearF,24.71339803509034,2,4.300845109230977e-6
till_id:yearF,0.04312838257793977,2,0.9786666535788308
cctrt_id:yearF,0.45677541301556196,4,0.9775701698359404
straw_id:yearF,0.001032688824511527,1,0.9743640121705113
cover_cat:till_id:cctrt_id,6.670494372430468,16,0.9791017388584476
cover_cat:till_id:straw_id,0.3964771056004778,4,0.982764316439634
cover_cat:cctrt_id:straw_id,1.5867199608877032,8,0.9911724196564268
till_id:cctrt_id:straw_id,0.024598197054207033,8,0.9999999990559182
cover_cat:till_id:yearF,1.5813297947278497,4,0.8121437719508263
cover_cat:cctrt_id:yearF,36.19882418970687,8,1.614784598481798e-5
till_id:cctrt_id:yearF,0.19030317652274772,8,0.9999968344688547
cover_cat:straw_id:yearF,0.7453993936311498,2,0.6888720722620952
till_id:straw_id:yearF,0.008880099592206269,2,0.9955697926526171
cctrt_id:straw_id:yearF,0.006976876513375373,4,0.9999939295312733
cover_cat:till_id:cctrt_id:straw_id,1.110293026592534,16,0.9999998631922982
cover_cat:till_id:cctrt_id:yearF,5.320783085573153,16,0.993914099821213
cover_cat:till_id:straw_id:yearF,0.15913018000130655,4,0.996997691557599
cover_cat:cctrt_id:straw_id:yearF,0.5344066279263934,8,0.9998283119884286
till_id:cctrt_id:straw_id:yearF,0.0248141186837677,8,0.9999999990224151
cover_cat:till_id:cctrt_id:straw_id:yearF,2.3048189453187495,16,0.9999721087063091
