cctrt_id,till_id,estimate,std.error,df,conf.low,conf.high,.group,year,resp_var
mix_E,surface,161.37311355606738,15.24374616534845,87,131.07451743537916,191.6717096767556, A      ,2018,tot_bio
rad_L,inversion,170.0809846602249,15.243746177210541,87,139.7823885159595,200.37958080449033, AB     ,2018,tot_bio
mix_E,inversion,175.01117290617947,15.243746165381719,87,144.71257678542514,205.3097690269338, AB     ,2018,tot_bio
mix_M,inversion,184.05679054961806,15.243746184631311,87,153.75819439060308,214.35538670863303, AB     ,2018,tot_bio
nocc,inversion,193.28663417003125,15.24374616647185,87,162.98803804711017,223.58523029295233, ABC    ,2018,tot_bio
mix_M,surface,202.22075045503527,15.24374620286548,87,171.9221542597779,232.51934665029265, ABCD   ,2018,tot_bio
rad_L,surface,205.01229856125929,15.24374618511284,87,174.7137024012872,235.31089472123136, ABCD   ,2018,tot_bio
rad_M,inversion,221.3566785002081,15.243746165423962,87,191.05808237936978,251.6552746210464, ABCDE  ,2018,tot_bio
nocc,surface,222.45855509724052,15.24374616795252,87,192.15995897137643,252.75715122310461, ABCDE  ,2018,tot_bio
mix_E,notill,227.67513072489993,15.243746165213352,87,197.37653460448024,257.9737268453196,  BCDE  ,2018,tot_bio
rad_M,surface,246.77138861846123,15.243746165379322,87,216.47279249771165,277.0699847392108,   CDEF ,2018,tot_bio
rad_L,notill,264.4022225375981,15.243746184620008,87,234.10362637860558,294.7008186965906,    DEF ,2018,tot_bio
mix_M,notill,273.8706367607125,15.243746203989314,87,243.57204056322138,304.1692329582036,     EF ,2018,tot_bio
nocc,notill,293.424705049883,15.243746167854693,87,263.1261089242134,323.72330117555265,      F ,2018,tot_bio
rad_M,notill,368.4986221782278,15.243746165375955,87,338.2000260574849,398.7972182989707,       G,2018,tot_bio
nocc,inversion,55.95496980802405,10.624290082942686,87,34.83804285316254,77.07189676288556, A     ,2019,tot_bio
nocc,notill,64.6972397856073,10.624290081843434,87,43.58031283293066,85.81416673828393, AB    ,2019,tot_bio
nocc,surface,70.50607459064624,10.624290081837373,87,49.38914763798165,91.62300154331082, ABC   ,2019,tot_bio
mix_M,inversion,71.95560369749623,10.624290082043098,87,50.83867674442274,93.07253065056972, ABC   ,2019,tot_bio
rad_L,inversion,73.2869037457216,10.624290082110088,87,52.16997679251497,94.40383069892823, ABC   ,2019,tot_bio
rad_L,surface,92.94491187199745,10.624290081787507,87,71.82798491943197,114.06183882456293, ABCD  ,2019,tot_bio
mix_M,notill,95.68355909816638,10.624290081822062,87,74.56663214553222,116.80048605080054, ABCD  ,2019,tot_bio
mix_E,inversion,102.13447512337751,10.624290081975758,87,81.01754817043788,123.25140207631715,  BCDE ,2019,tot_bio
mix_E,notill,106.05170178884578,10.624290081947843,87,84.93477483596162,127.16862874172993,  BCDE ,2019,tot_bio
rad_M,inversion,107.16927628355799,10.62429008227301,87,86.05234933002754,128.28620323708844,  BCDE ,2019,tot_bio
mix_E,surface,109.56997856250649,10.624290081768597,87,88.4530516099786,130.68690551503437,   CDE ,2019,tot_bio
rad_L,notill,109.65977369632513,10.624290081853337,87,88.54284674362881,130.77670064902145,   CDE ,2019,tot_bio
mix_M,surface,122.12364106078758,10.624290081814484,87,101.0067141081685,143.24056801340666,    DEF,2019,tot_bio
rad_M,surface,142.23170480050487,10.624290081949168,87,121.11477784761809,163.34863175339166,     EF,2019,tot_bio
rad_M,notill,153.51786788289544,10.624290081869727,87,132.40094093016654,174.63479483562435,      F,2019,tot_bio
