till_id,cctrt_id,estimate,std.error,df,conf.low,conf.high,.group
notill,mix_E,5.790714490183705,0.10905757890877864,Inf,5.576965563281363,6.004463417086046, A 
surface,mix_E,5.961908616074715,0.10792171398750379,Inf,5.750385943509375,6.173431288640055, AB
inversion,mix_E,6.244304261130501,0.10100973183057115,Inf,6.046328824654532,6.44227969760647,  B
notill,mix_M,5.058262534662408,0.12779077723120777,Inf,4.80779721373286,5.308727855591956, A  
surface,mix_M,5.750780038652035,0.10998475855756117,Inf,5.535213873030882,5.966346204273188,  B 
inversion,mix_M,6.256041970626265,0.10252057828397668,Inf,6.0551053295154516,6.456978611737079,   C
notill,nocc,4.974912125866335,0.1311892012474659,Inf,4.717786016260725,5.232038235471945, A 
surface,nocc,5.894140754758484,0.10713747404711431,Inf,5.684155164231545,6.104126345285423,  B
inversion,nocc,6.1740530974342445,0.10270302873879943,Inf,5.972758860003015,6.375347334865474,  B
notill,rad_L,4.905069282719345,0.13285525022886988,Inf,4.644677777113703,5.165460788324987, A  
surface,rad_L,5.763515254765809,0.10987172431195497,Inf,5.548170632195064,5.978859877336554,  B 
inversion,rad_L,6.327019968023275,0.10079646479484423,Inf,6.129462527256421,6.524577408790129,   C
notill,rad_M,4.892281914213767,0.13381511334991855,Inf,4.630009111460781,5.154554716966752, A  
surface,rad_M,5.707376428445192,0.11149600205599217,Inf,5.488848279995244,5.925904576895141,  B 
inversion,rad_M,6.274890885848073,0.10133639089079453,Inf,6.076275209378843,6.473506562317303,   C
