cctrt_id,till_id,estimate,std.error,df,conf.low,conf.high,.group,year
mix_E,noninversion,161.37286217055632,15.243392113695064,86,131.0700015686278,191.67572277248485, A      ,2018
rad_L,inversion,170.07633451013166,15.243392116355619,86,139.77347390291413,200.37919511734918, AB     ,2018
mix_E,inversion,175.01136609724875,15.243392113238068,86,144.7085054962287,205.3142266982688, AB     ,2018
mix_M,inversion,184.06238758655462,15.243392114379304,86,153.75952698326586,214.36524818984338, AB     ,2018
nocc,inversion,193.28485543830288,15.243392114282768,86,162.98199483520602,223.58771604139974, ABC    ,2018
mix_M,noninversion,202.2283248686212,15.243392114188708,86,171.92546426571133,232.53118547153107, ABCD   ,2018
rad_L,noninversion,205.0054982730437,15.243392114329124,86,174.7026376698547,235.30835887623272, ABCD   ,2018
rad_M,inversion,221.3563975962843,15.243392114136403,86,191.05353699347842,251.65925819909017, ABCDE  ,2018
nocc,noninversion,222.4566317970949,15.24339211403193,86,192.1537711944967,252.7594923996931, ABCDE  ,2018
mix_E,notill,227.6747726729432,15.243392114119816,86,197.37191207017028,257.97763327571613,  BCDE  ,2018
rad_M,noninversion,246.77184717385484,15.243392114391325,86,216.46898657054217,277.0747077771675,   CDEF ,2018
rad_L,notill,264.3969725566193,15.243392114590801,86,234.09411195291008,294.69983316032847,    DEF ,2018
mix_M,notill,273.8792889643799,15.243392114159642,86,243.5764283615278,304.182149567232,     EF ,2018
nocc,notill,293.42226522564,15.24339211405756,86,263.1194046229908,323.72512582828915,      F ,2018
rad_M,notill,368.4980703829625,15.243392114480429,86,338.19520977947275,398.8009309864523,       G,2018
nocc,inversion,55.95303755438388,10.624264508654203,86,34.832698721499,77.07337638726877, A     ,2019
nocc,notill,64.69805293984375,10.62426450799329,86,43.577714108272716,85.81839177141478, AB    ,2019
nocc,noninversion,70.50698139083377,10.624264508089484,86,49.38664255907152,91.62732022259603, ABC   ,2019
mix_M,inversion,71.95269461019737,10.62426451317446,86,50.83235576832651,93.07303345206823, ABC   ,2019
rad_L,inversion,73.2864768935723,10.624264509246192,86,52.16613805951058,94.40681572763401, ABC   ,2019
rad_L,noninversion,92.9462808723359,10.62426450877987,86,71.82594203920121,114.0666197054706, ABCD  ,2019
mix_M,notill,95.68568912107325,10.62426451025598,86,74.56535028500414,116.80602795714236, ABCD  ,2019
mix_E,inversion,102.14135605354986,10.624264538196242,86,81.02101716193735,123.26169494516236,  BCDE ,2019
mix_E,notill,106.05267753594455,10.624264508987062,86,84.93233870239797,127.17301636949114,  BCDE ,2019
rad_M,inversion,107.16974710224297,10.624264508087226,86,86.0494082704852,128.29008593400073,  BCDE ,2019
mix_E,noninversion,109.56741843552008,10.624264514410179,86,88.4470795911927,130.68775727984746,   CDE ,2019
rad_L,notill,109.65811890520818,10.624264511577062,86,88.53778006651285,130.77845774390352,   CDE ,2019
mix_M,noninversion,122.1235935407598,10.624264508077815,86,101.00325470902074,143.24393237249888,    DEF,2019
rad_M,noninversion,142.23244596915737,10.62426450860452,86,121.11210713637125,163.35278480194347,     EF,2019
rad_M,notill,153.5166356862294,10.624264508904961,86,132.396296852846,174.63697451961278,      F,2019
