cctrt_id,estimate,std.error,df,statistic,p.value,letter_sig,resp_var
rad_M,4.1986464748171155,0.16351814084075972,4.215108751743575,25.67694601485177,8.601014152775785e-6,a,crop_yield
nocc,3.9048976941934614,0.16351814084076002,4.215108751743598,23.88051670668268,1.1656350940109021e-5,b,crop_yield
rad_L,3.9048689923402966,0.16351814084075986,4.215108751743606,23.880341179655446,1.1656709859680124e-5,b,crop_yield
mix_M,3.865627935822436,0.16351814084076005,4.215108751743547,23.640361344292227,1.2160465409891684e-5,b,crop_yield
mix_E,3.8223598469911404,0.1635181408407603,4.215108751743587,23.375754074365904,1.2747492045754029e-5,b,crop_yield
