year,block,parc,till_id,cctrt_id,straw_id,date2,yieldDM_gm2,yield15_tonha
2018,B1,30502,med,mix_E,retained,2018-08-08,355.8247423,4.186173438
2018,B1,30503,med,rad_M,retained,2018-08-08,509.7123519,5.996615905
2018,B1,30504,med,rad_L,retained,2018-08-08,512.7106599,6.031890116
2018,B1,30505,med,mix_M,retained,2018-08-08,332.2439863,3.908752779
2018,B1,30506,med,nocc,retained,2018-08-08,338.8717949,3.986726998
2018,B1,30602,high,mix_E,retained,2018-08-08,335.6701031,3.949060036
2018,B1,30603,high,rad_M,retained,2018-08-08,507.285956,5.968070071
2018,B1,30604,high,rad_L,retained,2018-08-08,468.7918782,5.515198567
2018,B1,30605,high,mix_M,retained,2018-08-08,286.5223368,3.370851021
2018,B1,30606,high,nocc,retained,2018-08-08,460.9367521,5.422785319
2018,B1,30802,NA,mix_E,retained,2018-08-08,437.9591837,5.152460984
2018,B1,30803,NA,rad_M,retained,2018-08-08,518.9251701,6.105002001
2018,B1,30804,NA,rad_L,retained,2018-08-08,540.0442177,6.353461385
2018,B1,30805,NA,mix_M,retained,2018-08-08,442.5,5.205882353
2018,B1,30806,NA,nocc,retained,2018-08-08,449.5340136,5.288635454
2018,B1,31402,med,mix_E,removed,2018-08-08,489.3402062,5.756943602
2018,B1,31403,med,rad_M,removed,2018-08-08,555.4693878,6.534933974
2018,B1,31404,med,rad_L,removed,2018-08-08,484.8979592,5.704681873
2018,B1,31405,med,mix_M,removed,2018-08-08,462.1546392,5.437113402
2018,B1,31406,med,nocc,removed,2018-08-08,363.6205128,4.277888386
2018,B1,31502,NA,mix_E,removed,2018-08-08,477.257732,5.614796847
2018,B1,31503,NA,rad_M,removed,2018-08-08,458.4795918,5.393877551
2018,B1,31504,NA,rad_L,removed,2018-08-08,320.2721088,3.767907163
2018,B1,31505,NA,mix_M,removed,2018-08-08,453.0927835,5.330503335
2018,B1,31506,NA,nocc,removed,2018-08-08,382.0854701,4.495123177
2018,B1,31602,high,mix_E,removed,2018-08-08,514.6735395,6.054982818
2018,B1,31603,high,rad_M,removed,2018-08-08,490.3265306,5.768547419
2018,B1,31604,high,rad_L,removed,2018-08-08,452.4863946,5.323369348
2018,B1,31605,high,mix_M,removed,2018-08-08,513.5051546,6.041237113
2018,B1,31606,high,nocc,removed,2018-08-08,388.1025641,4.565912519
2018,B2,31801,high,rad_M,removed,2018-08-08,435.4931973,5.12344938
2018,B2,31802,high,mix_E,removed,2018-08-08,469.0612245,5.518367347
2018,B2,31803,high,nocc,removed,2018-08-08,456.3555556,5.368888889
2018,B2,31805,high,mix_M,removed,2018-08-08,478.0816327,5.624489796
2018,B2,31806,high,rad_L,removed,2018-08-08,420.952381,4.952380952
2018,B2,31901,med,rad_M,removed,2018-08-08,315.7142857,3.714285714
2018,B2,31902,med,mix_E,removed,2018-08-08,384.4353741,4.522769108
2018,B2,31903,med,nocc,removed,2018-08-08,377.7777778,4.444444444
2018,B2,31905,med,mix_M,removed,2018-08-08,343.1632653,4.037214886
2018,B2,31906,med,rad_L,removed,2018-08-08,321.7278912,3.785034014
2018,B2,32001,NA,rad_M,removed,2018-08-08,291.329932,3.427410964
2018,B2,32002,NA,mix_E,removed,2018-08-08,301.6258503,3.548539416
2018,B2,32003,NA,nocc,removed,2018-08-08,313.6,3.689411765
2018,B2,32005,NA,mix_M,removed,2018-08-08,166.9285714,1.963865546
2018,B2,32006,NA,rad_L,removed,2018-08-08,169.8367347,1.998079232
2018,B2,32601,NA,rad_M,retained,2018-08-08,382.2405498,4.496947645
2018,B2,32602,NA,mix_E,retained,2018-08-08,412.8571429,4.857142857
2018,B2,32603,NA,nocc,retained,2018-08-08,373.0461538,4.388778281
2018,B2,32605,NA,mix_M,retained,2018-08-08,455.7142857,5.361344538
2018,B2,32606,NA,rad_L,retained,2018-08-08,448.4536082,5.275924803
2018,B2,32701,med,rad_M,retained,2018-08-08,406.1305842,4.778006873
2018,B2,32702,med,mix_E,retained,2018-08-08,395.6190476,4.654341737
2018,B2,32703,med,nocc,retained,2018-08-08,362.0376068,4.259265963
2018,B2,32705,med,mix_M,retained,2018-08-08,425.6326531,5.007442977
2018,B2,32706,med,rad_L,retained,2018-08-08,421.0618557,4.95366889
2018,B2,32801,high,rad_M,retained,2018-08-08,421.0618557,4.95366889
2018,B2,32802,high,mix_E,retained,2018-08-08,401.9863946,4.729251701
2018,B2,32803,high,nocc,retained,2018-08-08,407.4871795,4.793966817
2018,B2,32805,high,mix_M,retained,2018-08-08,440.9183673,5.18727491
2018,B2,32806,high,rad_L,retained,2018-08-08,433.5051546,5.100060643
2018,B3,34101,high,nocc,removed,2018-08-08,384.5989848,4.524693938
2018,B3,34102,high,mix_E,removed,2018-08-08,402.4873096,4.735144819
2018,B3,34103,high,rad_M,removed,2018-08-08,350.6020408,4.124729892
2018,B3,34104,high,rad_L,removed,2018-08-08,335.6190476,3.948459384
2018,B3,34105,high,mix_M,removed,2018-08-08,370.1116751,4.354255001
2018,B3,34301,NA,nocc,removed,2018-08-08,405.4686971,4.770219966
2018,B3,34302,NA,mix_E,removed,2018-08-08,375.6548223,4.419468498
2018,B3,34303,NA,rad_M,removed,2018-08-08,383.5646259,4.51252501
2018,B3,34304,NA,rad_L,removed,2018-08-08,387,4.552941176
2018,B3,34305,NA,mix_M,removed,2018-08-08,399.5059222,4.700069673
2018,B3,34401,med,nocc,removed,2018-08-08,425.3705584,5.00435951
2018,B3,34402,med,mix_E,removed,2018-08-08,478.9137056,5.634278889
2018,B3,34403,med,rad_M,removed,2018-08-08,467.4693878,5.499639856
2018,B3,34404,med,rad_L,removed,2018-08-08,395.5510204,4.653541417
2018,B3,34405,med,mix_M,removed,2018-08-08,429.319797,5.050821141
2018,B3,34602,NA,mix_E,retained,2018-08-08,406.8556701,4.786537295
2018,B3,34603,NA,rad_M,retained,2018-08-08,378.8401361,4.456942777
2018,B3,34604,NA,rad_L,retained,2018-08-08,369.8911565,4.351660664
2018,B3,34605,NA,mix_M,retained,2018-08-08,316.0824742,3.718617344
2018,B3,34606,NA,nocc,retained,2018-08-08,318.8163265,3.750780312
2018,B3,34702,med,mix_E,retained,2018-08-08,423.4845361,4.982171013
2018,B3,34703,med,rad_M,retained,2018-08-08,429.5510204,5.053541417
2018,B3,34704,med,rad_L,retained,2018-08-08,387.7891156,4.56222489
2018,B3,34705,med,mix_M,retained,2018-08-08,393.9003436,4.63412169
2018,B3,34706,med,nocc,retained,2018-08-08,369.4693878,4.346698679
2018,B3,34802,high,mix_E,retained,2018-08-08,371.1134021,4.366040024
2018,B3,34803,high,rad_M,retained,2018-08-08,369.8911565,4.351660664
2018,B3,34804,high,rad_L,retained,2018-08-08,351.1904762,4.131652661
2018,B3,34805,high,mix_M,retained,2018-08-08,367.257732,4.3206792
2018,B3,34806,high,nocc,retained,2018-08-08,366.9081633,4.316566627
2018,B4,34901,NA,rad_M,retained,2018-08-08,251.2794613,2.956228956
2018,B4,34902,NA,mix_E,retained,2018-08-08,408.9347079,4.810996564
2018,B4,34903,NA,nocc,retained,2018-08-08,331.8900344,3.90458864
2018,B4,34905,NA,mix_M,retained,2018-08-08,444.0309278,5.223893269
2018,B4,34906,NA,rad_L,retained,2018-08-08,346.2727273,4.073796791
2018,B4,35101,high,rad_M,retained,2018-08-08,467.6161616,5.501366607
2018,B4,35102,high,mix_E,retained,2018-08-08,438.4879725,5.15868203
2018,B4,35103,high,nocc,retained,2018-08-08,410.8041237,4.832989691
2018,B4,35105,high,mix_M,retained,2018-08-08,396.1512027,4.660602385
2018,B4,35106,high,rad_L,retained,2018-08-08,396.5858586,4.665715983
2018,B4,35201,med,rad_M,retained,2018-08-08,416.3535354,4.898276887
2018,B4,35202,med,mix_E,retained,2018-08-08,413.3539519,4.862987669
2018,B4,35203,med,nocc,retained,2018-08-08,464.6460481,5.466424095
2018,B4,35205,med,mix_M,retained,2018-08-08,441.0103093,5.18835658
2018,B4,35206,med,rad_L,retained,2018-08-08,396.1346801,4.660408002
2018,B4,35301,NA,rad_M,removed,2018-08-08,389.9124579,4.587205387
2018,B4,35302,NA,mix_E,removed,2018-08-08,377.1477663,4.437032545
2018,B4,35304,NA,nocc,removed,2018-08-08,444.5223368,5.22967455
2018,B4,35305,NA,mix_M,removed,2018-08-08,352.3848797,4.145704467
2018,B4,35306,NA,rad_L,removed,2018-08-08,383.959596,4.517171717
2018,B4,35401,high,rad_M,removed,2018-08-08,458.8888889,5.39869281
2018,B4,35402,high,mix_E,removed,2018-08-08,453.6563574,5.337133616
2018,B4,35404,high,nocc,removed,2018-08-08,462.790378,5.444592682
2018,B4,35405,high,mix_M,removed,2018-08-08,447.5670103,5.265494239
2018,B4,35406,high,rad_L,removed,2018-08-08,455.0544218,5.3535814329999996
2018,B4,35501,med,rad_M,removed,2018-08-08,460.5612245,5.418367347
2018,B4,35502,med,mix_E,removed,2018-08-08,482.4594128,5.675993092
2018,B4,35504,med,nocc,removed,2018-08-08,475.6122449,5.595438175
2018,B4,35505,med,mix_M,removed,2018-08-08,437.6442142,5.148755461
2018,B4,35506,med,rad_L,removed,2018-08-08,478.622449,5.630852341
2019,B1,30502,med,mix_E,retained,2019-08-15,367.004081676,4.317695078541177
2019,B1,30503,med,rad_M,retained,2019-08-15,448.12312922940004,5.2720368144635295
2019,B1,30504,med,rad_L,retained,2019-08-15,423.11020407440003,4.977767106757647
2019,B1,30505,med,mix_M,retained,2019-08-15,390.1593197472,4.590109644084706
2019,B1,30506,med,nocc,retained,2019-08-15,414.74591838300006,4.879363745682353
2019,B1,30602,high,mix_E,retained,2019-08-15,395.6130612408,4.654271308715294
2019,B1,30603,high,rad_M,retained,2019-08-15,441.56911568909993,5.19493077281294
2019,B1,30604,high,rad_L,retained,2019-08-15,431.55591840479997,5.077128451821176
2019,B1,30605,high,mix_M,retained,2019-08-15,355.644761947,4.1840560229058825
2019,B1,30606,high,nocc,retained,2019-08-15,448.3875510367001,5.275147659255296
2019,B1,30802,NA,mix_E,retained,2019-08-15,467.1363265584,5.495721488922353
2019,B1,30803,NA,rad_M,retained,2019-08-15,542.5785034261,6.383276510895295
2019,B1,30804,NA,rad_L,retained,2019-08-15,495.8148979265999,5.833116446195293
2019,B1,30805,NA,mix_M,retained,2019-08-15,436.8408163470001,5.139303721729414
2019,B1,30806,NA,nocc,retained,2019-08-15,490.0825850316,5.765677470959999
2019,B1,31402,med,mix_E,removed,2019-08-15,513.6469387784999,6.042905162099999
2019,B1,31403,med,rad_M,removed,2019-08-15,511.86802722939996,6.021976790934117
2019,B1,31404,med,rad_L,removed,2019-08-15,467.836734728,5.503961585035295
2019,B1,31405,med,mix_M,removed,2019-08-15,445.53938775570003,5.241639855949412
2019,B1,31406,med,nocc,removed,2019-08-15,392.26122448859996,4.61483793516
2019,B1,31502,NA,mix_E,removed,2019-08-15,447.153877557,5.260633853611765
2019,B1,31503,NA,rad_M,removed,2019-08-15,447.27231289879995,5.262027210574118
2019,B1,31504,NA,rad_L,removed,2019-08-15,421.50204078400003,4.958847538635295
2019,B1,31505,NA,mix_M,removed,2019-08-15,451.698367329,5.314098439164707
2019,B1,31506,NA,nocc,removed,2019-08-15,404.919727872,4.763761504376471
2019,B1,31602,high,mix_E,removed,2019-08-15,465.31183672929996,5.474256902697647
2019,B1,31603,high,rad_M,removed,2019-08-15,449.36632653419997,5.286662665108236
2019,B1,31604,high,rad_L,removed,2019-08-15,419.0443537385,4.929933573394118
2019,B1,31605,high,mix_M,removed,2019-08-15,406.07408161890004,4.777342136692941
2019,B1,31606,high,nocc,removed,2019-08-15,404.85986393599995,4.76305722277647
2019,B2,31801,high,rad_M,removed,2019-08-15,424.3205442291,4.992006402695295
2019,B2,31802,high,mix_E,removed,2019-08-15,475.67619048039995,5.5961904762399985
