plot_id,year,date,date2,rep,name,value,value2
3_05_02,2019,22-05-19,2019-05-22,1,dicot,TRUE,1
3_05_02,2019,22-05-19,2019-05-22,1,monocot,FALSE,0
3_05_02,2019,22-05-19,2019-05-22,1,cirar,FALSE,0
3_05_02,2019,22-05-19,2019-05-22,1,equar,FALSE,0
3_05_02,2019,22-05-19,2019-05-22,2,dicot,TRUE,1
3_05_02,2019,22-05-19,2019-05-22,2,monocot,TRUE,1
3_05_02,2019,22-05-19,2019-05-22,2,cirar,FALSE,0
3_05_02,2019,22-05-19,2019-05-22,2,equar,FALSE,0
3_05_02,2019,22-05-19,2019-05-22,3,dicot,TRUE,1
3_05_02,2019,22-05-19,2019-05-22,3,monocot,TRUE,1
3_05_02,2019,22-05-19,2019-05-22,3,cirar,FALSE,0
3_05_02,2019,22-05-19,2019-05-22,3,equar,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,1,dicot,TRUE,1
3_05_03,2019,22-05-19,2019-05-22,1,monocot,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,1,cirar,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,1,equar,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,2,dicot,TRUE,1
3_05_03,2019,22-05-19,2019-05-22,2,monocot,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,2,cirar,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,2,equar,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,3,dicot,TRUE,1
3_05_03,2019,22-05-19,2019-05-22,3,monocot,TRUE,1
3_05_03,2019,22-05-19,2019-05-22,3,cirar,FALSE,0
3_05_03,2019,22-05-19,2019-05-22,3,equar,FALSE,0
3_05_04,2019,22-05-19,2019-05-22,1,dicot,TRUE,1
3_05_04,2019,22-05-19,2019-05-22,1,monocot,TRUE,1
3_05_04,2019,22-05-19,2019-05-22,1,cirar,FALSE,0
3_05_04,2019,22-05-19,2019-05-22,1,equar,FALSE,0
3_05_04,2019,22-05-19,2019-05-22,2,dicot,TRUE,1
3_05_04,2019,22-05-19,2019-05-22,2,monocot,FALSE,0
3_05_04,2019,22-05-19,2019-05-22,2,cirar,FALSE,0
3_05_04,2019,22-05-19,2019-05-22,2,equar,FALSE,0
3_05_04,2019,22-05-19,2019-05-22,3,dicot,TRUE,1
3_05_04,2019,22-05-19,2019-05-22,3,monocot,TRUE,1
3_05_04,2019,22-05-19,2019-05-22,3,cirar,FALSE,0
3_05_04,2019,22-05-19,2019-05-22,3,equar,FALSE,0
3_05_05,2019,22-05-19,2019-05-22,1,dicot,TRUE,1
3_05_05,2019,22-05-19,2019-05-22,1,monocot,TRUE,1
3_05_05,2019,22-05-19,2019-05-22,1,cirar,FALSE,0
3_05_05,2019,22-05-19,2019-05-22,1,equar,FALSE,0
3_05_05,2019,22-05-19,2019-05-22,2,dicot,TRUE,1
3_05_05,2019,22-05-19,2019-05-22,2,monocot,TRUE,1
3_05_05,2019,22-05-19,2019-05-22,2,cirar,FALSE,0
3_05_05,2019,22-05-19,2019-05-22,2,equar,FALSE,0
3_05_05,2019,22-05-19,2019-05-22,3,dicot,TRUE,1
3_05_05,2019,22-05-19,2019-05-22,3,monocot,TRUE,1
3_05_05,2019,22-05-19,2019-05-22,3,cirar,FALSE,0
3_05_05,2019,22-05-19,2019-05-22,3,equar,FALSE,0
3_05_06,2019,22-05-19,2019-05-22,1,dicot,TRUE,1
3_05_06,2019,22-05-19,2019-05-22,1,monocot,TRUE,1
3_05_06,2019,22-05-19,2019-05-22,1,cirar,FALSE,0
3_05_06,2019,22-05-19,2019-05-22,1,equar,FALSE,0
3_05_06,2019,22-05-19,2019-05-22,2,dicot,TRUE,1
3_05_06,2019,22-05-19,2019-05-22,2,monocot,TRUE,1
3_05_06,2019,22-05-19,2019-05-22,2,cirar,FALSE,0
3_05_06,2019,22-05-19,2019-05-22,2,equar,FALSE,0
3_05_06,2019,22-05-19,2019-05-22,3,dicot,TRUE,1
3_05_06,2019,22-05-19,2019-05-22,3,monocot,TRUE,1
3_05_06,2019,22-05-19,2019-05-22,3,cirar,FALSE,0
3_05_06,2019,22-05-19,2019-05-22,3,equar,FALSE,0
3_06_02,2019,22-05-19,2019-05-22,1,dicot,TRUE,1
3_06_02,2019,22-05-19,2019-05-22,1,monocot,FALSE,0
3_06_02,2019,22-05-19,2019-05-22,1,cirar,FALSE,0
3_06_02,2019,22-05-19,2019-05-22,1,equar,FALSE,0
