plot_id,year,date,date2,dm_type,dm_gm2
3_05_02,2019,13-11-19,2019-11-13,grass_cl,61.58
3_05_02,2019,13-11-19,2019-11-13,weeds,35.09
3_05_03,2019,13-11-19,2019-11-13,radish,78.87
3_05_03,2019,13-11-19,2019-11-13,weeds,64.85
3_05_04,2019,13-11-19,2019-11-13,radish,20.13
3_05_04,2019,13-11-19,2019-11-13,weeds,102.43
3_05_05,2019,13-11-19,2019-11-13,grass_cl,21.94
3_05_05,2019,13-11-19,2019-11-13,weeds,92.71
3_05_06,2019,13-11-19,2019-11-13,weeds,81.66
3_06_02,2019,13-11-19,2019-11-13,grass_cl,118.2
3_06_02,2019,13-11-19,2019-11-13,weeds,3.7
3_06_03,2019,13-11-19,2019-11-13,radish,79.65
3_06_03,2019,13-11-19,2019-11-13,weeds,83.9
3_06_04,2019,13-11-19,2019-11-13,radish,8.21
3_06_04,2019,13-11-19,2019-11-13,weeds,39.63
3_06_05,2019,13-11-19,2019-11-13,grass_cl,6.33
3_06_05,2019,13-11-19,2019-11-13,weeds,39.75
3_06_06,2019,13-11-19,2019-11-13,weeds,53.59
3_08_02,2019,13-11-19,2019-11-13,grass_cl,83.3
3_08_02,2019,13-11-19,2019-11-13,weeds,54.09
3_08_03,2019,13-11-19,2019-11-13,radish,170.58
3_08_03,2019,13-11-19,2019-11-13,weeds,91.58
3_08_04,2019,13-11-19,2019-11-13,radish,24.69
3_08_04,2019,13-11-19,2019-11-13,weeds,105.23
3_08_05,2019,13-11-19,2019-11-13,grass_cl,12.24
3_08_05,2019,13-11-19,2019-11-13,weeds,97.18
3_08_06,2019,13-11-19,2019-11-13,weeds,96.28
3_14_02,2019,13-11-19,2019-11-13,grass_cl,80.13
3_14_02,2019,13-11-19,2019-11-13,weeds,34.21
3_14_03,2019,13-11-19,2019-11-13,radish,50.73
3_14_03,2019,13-11-19,2019-11-13,weeds,115.43
3_14_04,2019,13-11-19,2019-11-13,radish,10.7
3_14_04,2019,13-11-19,2019-11-13,weeds,91.11
3_14_05,2019,13-11-19,2019-11-13,grass_cl,18.47
3_14_05,2019,13-11-19,2019-11-13,weeds,92.09
3_14_06,2019,13-11-19,2019-11-13,weeds,68.3
3_15_02,2019,13-11-19,2019-11-13,grass_cl,26.07
3_15_02,2019,13-11-19,2019-11-13,weeds,39.27
3_15_03,2019,13-11-19,2019-11-13,radish,52.75
3_15_03,2019,13-11-19,2019-11-13,weeds,67.76
3_15_04,2019,13-11-19,2019-11-13,radish,21.58
3_15_04,2019,13-11-19,2019-11-13,weeds,65.6
3_15_05,2019,13-11-19,2019-11-13,grass_cl,8.13
3_15_05,2019,13-11-19,2019-11-13,weeds,70.3
3_15_06,2019,13-11-19,2019-11-13,weeds,67.9
3_16_02,2019,13-11-19,2019-11-13,grass_cl,99.41
3_16_02,2019,13-11-19,2019-11-13,weeds,14.16
3_16_03,2019,13-11-19,2019-11-13,radish,41.41
3_16_03,2019,13-11-19,2019-11-13,weeds,51.9
3_16_04,2019,13-11-19,2019-11-13,radish,16.02
3_16_04,2019,13-11-19,2019-11-13,weeds,58.37
3_16_05,2019,13-11-19,2019-11-13,grass_cl,19.11
3_16_05,2019,13-11-19,2019-11-13,weeds,61.14
