cctrt_id,estimate,std.error,df,conf.low,conf.high
mix_E,146.96916666666772,7.685932206456302,8.38379758324698,129.38561653677033,164.5527167965651
mix_M,158.3220833333335,7.685932206456345,8.38379758324716,140.73853320343605,175.90563346323094
nocc,150.05354166666686,7.685932206456376,8.383797583246977,132.46999153676927,167.63709179656445
rad_L,152.56187500000007,7.685932206456366,8.383797583247185,134.9783248701026,170.14542512989755
rad_M,206.5908333333335,7.685932206456331,8.383797583247212,189.00728320343612,224.1743834632309
