till_id,cctrt_id,weayear,response,SE,df,asymp.LCL,asymp.UCL
inversion,mix_E,Y2018,0.12963542804886447,0.02185263350601188,Inf,0.09247466869137523,0.17878728842437902
notill,mix_E,Y2018,0.07295914023569372,0.014154389993176369,Inf,0.04962956895514741,0.10603180244901607
surface,mix_E,Y2018,0.27834433243487006,0.03325880876770631,Inf,0.2180255460217233,0.34792594494858603
inversion,mix_M,Y2018,0.04135888220016951,0.008784133043470374,Inf,0.0271867634355384,0.062444531839108926
notill,mix_M,Y2018,0.023062727358108968,0.005191429535395342,Inf,0.0148059632211554,0.035756880882667756
surface,mix_M,Y2018,0.02207545548196872,0.005008013582449422,Inf,0.014124231106418835,0.03434687130243093
inversion,nocc,Y2018,0.023830535207451473,0.005352643319411294,Inf,0.015312594814998784,0.036909146781290064
notill,nocc,Y2018,0.02296820578703765,0.0051549958037627585,Inf,0.014764650098037409,0.035565294150516076
surface,nocc,Y2018,0.02016563032103795,0.004577145089027697,Inf,0.0129014862640336,0.03138976552913397
inversion,rad_L,Y2018,0.28643382278096624,0.033175925468356536,Inf,0.2260233335366796,0.35557280459367097
notill,rad_L,Y2018,0.2673513391997939,0.031805165925680466,Inf,0.20976342272720383,0.33406573688552293
surface,rad_L,Y2018,0.2566773971288546,0.031692385676351055,Inf,0.1995873585234281,0.3234974803716466
inversion,rad_M,Y2018,0.4994513541841398,0.03851288670298998,Inf,0.4245480767567407,0.5743792651628519
notill,rad_M,Y2018,0.6449870792619298,0.03610027012146435,Inf,0.5715242132331626,0.7121972536367077
surface,rad_M,Y2018,0.5116091085510711,0.03864952859031355,Inf,0.4361688496628154,0.58652420271811
inversion,mix_E,Y2019,0.7177532389636505,0.03299912741244682,Inf,0.6488715577041658,0.777750561243298
notill,mix_E,Y2019,0.47729582152568745,0.038434523038149496,Inf,0.40303792595265103,0.5525711065480001
surface,mix_E,Y2019,0.5099567214447311,0.038475452431079575,Inf,0.434889449981648,0.5845776283033538
inversion,mix_M,Y2019,0.21566526458956334,0.02857484259140536,Inf,0.16490146611131265,0.2768751588301915
notill,mix_M,Y2019,0.19007880862258492,0.02665093060301321,Inf,0.14322011932238607,0.24783396483576484
surface,mix_M,Y2019,0.20428516963673402,0.027742787983848917,Inf,0.15522036984827564,0.2640122505682063
inversion,nocc,Y2019,0.030813647364269576,0.006777868111951158,Inf,0.01997051194745304,0.04726023462218952
notill,nocc,Y2019,0.0628630267761048,0.012382533841288852,Inf,0.04254015777139394,0.09196229185668453
surface,nocc,Y2019,0.02970687528574538,0.006591400716762019,Inf,0.01918201950071402,0.04573725513832613
inversion,rad_L,Y2019,0.2652254026231774,0.03187657553318947,Inf,0.20758010121723286,0.3321685386471861
notill,rad_L,Y2019,0.2057508058753119,0.028154594041843974,Inf,0.15598550281932227,0.2663821334517589
surface,rad_L,Y2019,0.24121144706313916,0.030453422003700818,Inf,0.18661448500886074,0.30577678157450383
inversion,rad_M,Y2019,0.43514237119073,0.03814117410792676,Inf,0.3623822871532582,0.5108078953316594
notill,rad_M,Y2019,0.4992168521844057,0.03855353879869806,Inf,0.4242409889965708,0.5742279509822913
surface,rad_M,Y2019,0.4241136177666159,0.037747738308429875,Inf,0.3523276295723628,0.4992513640480727
