cctrt_id,till_id,weayear,emmean,SE,df,asymp.LCL,asymp.UCL,.group
mix_E,surface,Y2018,5.070608432020345,0.07517230821314076,Inf,4.923273415287844,5.2179434487528455, a     
rad_L,inversion,Y2018,5.130401691273742,0.07425991142026545,Inf,4.9848549393948876,5.275948443152597, ab    
mix_E,inversion,Y2018,5.162290534244258,0.07376627964919737,Inf,5.017711282858322,5.3068697856301945, ab    
mix_M,inversion,Y2018,5.190193508523259,0.07352894564784654,Inf,5.0460794232322765,5.334307593814241, abc   
nocc,inversion,Y2018,5.259263340444557,0.07239063209820594,Inf,5.117380308713984,5.40114637217513, abc   
mix_M,surface,Y2018,5.3061237594205775,0.07170018651227301,Inf,5.165593976171718,5.446653542669437, abcd  
rad_L,surface,Y2018,5.315600462569798,0.07157406108930296,Inf,5.175317880607495,5.455883044532102, abcd  
nocc,surface,Y2018,5.387858698970009,0.07064328208351119,Inf,5.249400410336623,5.526316987603394, abcde 
rad_M,inversion,Y2018,5.393532266408889,0.07051241804649624,Inf,5.255330466574924,5.531734066242854, abcde 
mix_E,notill,Y2018,5.416006816391569,0.07031944845757235,Inf,5.278183230002006,5.553830402781132,  bcde 
rad_M,surface,Y2018,5.505852189706248,0.06896599816706993,Inf,5.370681317140936,5.64102306227156,   cde 
rad_L,notill,Y2018,5.575452200651249,0.06804949629809554,Inf,5.44207763874089,5.708826762561608,    de 
mix_M,notill,Y2018,5.609251534258639,0.06761935050206816,Inf,5.476720042616595,5.741783025900682,    de 
nocc,notill,Y2018,5.680480096743436,0.06672770406083627,Inf,5.549696200013149,5.811263993473722,     ef
rad_M,notill,Y2018,5.906059509501616,0.06396836195869665,Inf,5.780683823912549,6.031435195090683,      f
nocc,inversion,Y2019,4.02376605370583,0.09323182808101246,Inf,3.8410350284542156,4.206497078957445, A      
nocc,notill,Y2019,4.167345300326706,0.0904446205095263,Inf,3.9900771015326417,4.34461349912077, AB     
nocc,surface,Y2019,4.25300203976989,0.08880787456826751,Inf,4.078941804072535,4.427062275467245, ABC    
mix_M,inversion,Y2019,4.261620675430231,0.08877677739592743,Inf,4.087621389070684,4.435619961789778, ABCD   
rad_L,inversion,Y2019,4.287806894803229,0.08823226156850199,Inf,4.114874839854448,4.46073894975201, ABCD   
rad_L,surface,Y2019,4.5247879405722955,0.08396988720101761,Inf,4.360209985872411,4.68936589527218,  BCDE  
mix_M,notill,Y2019,4.557294590583789,0.0833603980921114,Inf,4.393911212586329,4.720677968581248,  BCDE  
mix_E,inversion,Y2019,4.619528785392127,0.08235545555033916,Inf,4.458115058583073,4.7809425122011815,   CDEF 
mix_E,notill,Y2019,4.647590743259415,0.08196820201542984,Inf,4.486936019431669,4.808245467087161,    DEF 
rad_M,inversion,Y2019,4.6692809578029495,0.08154895526758682,Inf,4.509447942501612,4.829113973104287,     EFG
rad_L,notill,Y2019,4.691882540018198,0.08110192615641756,Inf,4.532925685674792,4.8508393943616035,     EFG
mix_E,surface,Y2019,4.694682822088206,0.08101070826365199,Inf,4.535904751529366,4.853460892647045,     EFG
mix_M,surface,Y2019,4.761227238372309,0.08043912152707323,Inf,4.603569457231205,4.9188850195134135,     EFG
rad_M,surface,Y2019,4.954158636515705,0.076875840498649,Inf,4.803484757857107,5.104832515174302,      FG
rad_M,notill,Y2019,5.026297286556634,0.07582950763280573,Inf,4.87767418263093,5.174920390482338,       G
