till_id,cctrt_id,term,weed_type2,null.value,estimate,std.error,df,statistic,p.value
inversion,mix_E,weed_type2,Total,0,185.7213915753555,37.015901216477126,354,5.017340804137551,8.309240845424083e-7
notill,mix_E,weed_type2,Total,0,104.35854473657591,19.13967537961284,354,5.452472033446102,9.336828076657355e-8
surface,mix_E,weed_type2,Total,0,127.40118083588689,24.623254714263876,354,5.174018719876432,3.84552809805937e-7
inversion,mix_M,weed_type2,Total,0,187.59188209928902,37.386751037982854,354,5.017603212130044,8.298657125050866e-7
notill,mix_M,weed_type2,Total,0,50.37555993419827,9.675034157584118,354,5.206757838132241,3.2659011090062016e-7
surface,mix_M,weed_type2,Total,0,109.62173733550648,21.802947957292897,354,5.0278401595156295,7.895794256042559e-7
inversion,nocc,weed_type2,Total,0,170.04488304747528,33.89683141975714,354,5.016542134624499,8.341534035025727e-7
notill,nocc,weed_type2,Total,0,47.14383317351318,9.3867655350978,354,5.022372509171445,8.108553403951698e-7
surface,nocc,weed_type2,Total,0,127.3589620477453,25.417482520429274,354,5.010683569680068,8.582156548079289e-7
inversion,rad_L,weed_type2,Total,0,201.46849936063637,40.126970597188524,354,5.020775213336243,8.171747474859907e-7
notill,rad_L,weed_type2,Total,0,42.67814717311359,8.437067994821692,354,5.058409769757407,6.802184030051763e-7
surface,rad_L,weed_type2,Total,0,110.70424313303819,22.008149588557213,354,5.030147704493843,7.807631759503653e-7
inversion,rad_M,weed_type2,Total,0,190.46530726844964,37.95644634176776,354,5.017996299059725,8.282827112165057e-7
notill,rad_M,weed_type2,Total,0,42.99851346884153,8.562407701788736,354,5.021778332262652,8.132005511699913e-7
surface,rad_M,weed_type2,Total,0,105.88709597467634,21.131664370289343,354,5.010826128941896,8.576222478420865e-7
inversion,mix_E,NA,A,0.10185141103239669,185.6195401643231,37.00046072814754,354,25.88471655545645,1.1686716264421389e-83
inversion,mix_E,NA,P,0.10185141103239669,0.1018514110324192,0.21846056326780944,354,-7.699506903580686e-16,0.9999999999999993
notill,mix_E,NA,A,0.10185141103239669,94.12028171824848,18.859194729015922,354,22.485611119490066,3.502653455460957e-70
notill,mix_E,NA,P,0.10185141103239669,10.23826301832743,2.228174547468721,354,11.713167985042137,5.2735883745586185e-27
surface,mix_E,NA,A,0.10185141103239669,122.67291122857075,24.520233470616436,354,23.809574802574375,1.737971826396179e-75
surface,mix_E,NA,P,0.10185141103239669,4.728269607316141,1.1357257362190616,354,8.31415830775799,2.00949933225354e-15
inversion,mix_M,NA,A,0.10185141103239669,187.4900306882566,37.37131691499589,354,25.93501805675675,7.447006881681997e-84
inversion,mix_M,NA,P,0.10185141103239669,0.10185141103240744,0.21846056327005275,354,-2.887315088842738e-15,0.9999999999999978
notill,mix_M,NA,A,0.10185141103239669,47.36152310373687,9.588484864720204,354,19.07385652625726,2.7114408512300916e-56
notill,mix_M,NA,P,0.10185141103239669,3.0140368304614,0.7958502736332378,354,6.52053448249153,2.418351062711211e-10
surface,mix_M,NA,A,0.10185141103239669,108.83197581232362,21.776035371716578,354,23.210944283166064,4.271452720023898e-73
surface,mix_M,NA,P,0.10185141103239669,0.7897615231828556,0.3548503060954198,354,2.4466552020214376,0.014904632406638384
inversion,nocc,NA,A,0.10185141103239669,169.88310923924803,33.88044878322407,354,25.440404925594454,6.331470129292806e-82
inversion,nocc,NA,P,0.10185141103239669,0.16177380822724485,0.2303411857455599,354,0.2670952175103811,0.789551380613261
notill,nocc,NA,A,0.10185141103239669,46.16935452126582,9.352117404075122,354,18.947965019365483,8.890404071504871e-56
notill,nocc,NA,P,0.10185141103239669,0.974478652247362,0.39147358183885844,354,2.9420583767790345,0.003475144426731246
surface,nocc,NA,A,0.10185141103239669,127.10751942209848,25.399469086212147,354,23.987262834893407,3.412995034255271e-76
surface,nocc,NA,P,0.10185141103239669,0.25144262564681674,0.24811953604933745,354,0.6420899270961627,0.5212303702678962
inversion,rad_L,NA,A,0.10185141103239669,201.30672555240912,40.110708917578286,354,26.29180935123267,3.070629897875499e-85
inversion,rad_L,NA,P,0.10185141103239669,0.16177380822724485,0.23034118575004434,354,0.26709521751038084,0.7895513806132612
notill,rad_L,NA,A,0.10185141103239669,41.33057941742788,8.392748904711386,354,18.402060883814432,1.5326766788036618e-53
notill,rad_L,NA,P,0.10185141103239669,1.3475677556857097,0.4654447678637634,354,3.8150002784739905,1.6066317150459396e-4
surface,rad_L,NA,A,0.10185141103239669,109.86274070663762,21.980401838285328,354,23.258058374675475,2.766604814767575e-73
surface,rad_L,NA,P,0.10185141103239669,0.8415024264005605,0.3651088098720937,354,2.5903978237478475,0.009982654255316713
inversion,rad_M,NA,A,0.10185141103239669,190.36345585741722,37.941021754838424,354,26.01132640253789,3.7610740202414907e-84
inversion,rad_M,NA,P,0.10185141103239669,0.10185141103240744,0.21846056327005323,354,-2.7998206922111342e-15,0.9999999999999978
notill,rad_M,NA,A,0.10185141103239669,42.00547575811999,8.526558448676523,354,18.481840794507313,7.221374758057825e-54
notill,rad_M,NA,P,0.10185141103239669,0.9930377107215367,0.3951532271377083,354,2.9892451588749904,0.0029921571191463725
surface,rad_M,NA,A,0.10185141103239669,105.47716229487568,21.110887200795375,354,23.0544824828447,1.8095475376130746e-72
surface,rad_M,NA,P,0.10185141103239669,0.4099336798006632,0.2795430516161618,354,1.2435303919190421,0.21449532745638406
