cctrt_id,till_id,straw_id,response,SE,df,asymp.LCL,asymp.UCL,perf_cat
mix_E,inversion,removed,0.1294261345150603,0.01762864968016206,Inf,0.09861670980694322,0.16806622981338917,soil coverage
mix_M,inversion,removed,0.26148049865959566,0.02739050792739179,Inf,0.21143634436003034,0.3185840774581522,soil coverage
nocc,inversion,removed,0.303408660474329,0.029953603271299784,Inf,0.248077509458147,0.3650887811729032,soil coverage
rad_L,inversion,removed,0.34736839469541136,0.03151992133764306,Inf,0.2884072647997272,0.41141431850972254,soil coverage
rad_M,inversion,removed,0.33507188354634054,0.031086447231205874,Inf,0.27711815020042396,0.39846480659767736,soil coverage
mix_E,notill,removed,0.1856853044940961,0.022264883559264273,Inf,0.14592887228849682,0.2333140294150546,soil coverage
mix_M,notill,removed,0.2501471925427321,0.026709472233509855,Inf,0.20150479450526895,0.3060313915033769,soil coverage
nocc,notill,removed,0.25915473606445394,0.027420092153843542,Inf,0.20911236720655224,0.31638203517578667,soil coverage
rad_L,notill,removed,0.24976165186833804,0.026760466167219304,Inf,0.20104227754664103,0.30576897592133373,soil coverage
rad_M,notill,removed,0.24816225818873644,0.026627587545404386,Inf,0.1997023836766053,0.30391579525144086,soil coverage
mix_E,surface,removed,0.21988848394698335,0.024729476994981587,Inf,0.17524925967851065,0.2721461968343537,soil coverage
mix_M,surface,removed,0.3104514166208719,0.029920265503864903,Inf,0.25503252723541975,0.3719010229538131,soil coverage
nocc,surface,removed,0.3031994575890658,0.02998628145510436,Inf,0.2478161937483835,0.36495465839442737,soil coverage
rad_L,surface,removed,0.2989342047898422,0.02940384275313452,Inf,0.2446470048317869,0.3595339100512035,soil coverage
rad_M,surface,removed,0.30212678387529784,0.029544844445183696,Inf,0.24752971685576378,0.3629575182295347,soil coverage
mix_E,inversion,retained,0.17328478943110984,0.021454137326512895,Inf,0.13516443923828156,0.2194284122360623,soil coverage
mix_M,inversion,retained,0.2757992765553205,0.02818723836291291,Inf,0.22408927624092712,0.3343006135358377,soil coverage
nocc,inversion,retained,0.29725625513314474,0.029395086481149118,Inf,0.2430190783020406,0.3578754283360103,soil coverage
rad_L,inversion,retained,0.311452583135778,0.030021875273402998,Inf,0.2558365528217816,0.3730972682609419,soil coverage
rad_M,inversion,retained,0.31192102421523354,0.030000868445688576,Inf,0.25633203189120196,0.37351044453139515,soil coverage
mix_E,notill,retained,0.19520995678242778,0.02284131457437165,Inf,0.1542738651023884,0.24387603923233728,soil coverage
mix_M,notill,retained,0.234342131988625,0.02570144562113148,Inf,0.18774895169197417,0.2883927686523657,soil coverage
nocc,notill,retained,0.26231596020667364,0.027732376101578755,Inf,0.21167500653244484,0.32015198752059165,soil coverage
rad_L,notill,retained,0.2420760799379634,0.026236419082163686,Inf,0.19441087411981978,0.2971175334442476,soil coverage
rad_M,notill,retained,0.22044823254641582,0.02476875580018306,Inf,0.17573069000293606,0.2727791442020538,soil coverage
mix_E,surface,retained,0.18700947913774313,0.02230016395306248,Inf,0.1471614777104267,0.23467831664037866,soil coverage
mix_M,surface,retained,0.25404761261106423,0.02692628040690601,Inf,0.20495263648308928,0.3103127940004137,soil coverage
nocc,surface,retained,0.29589730515890095,0.029285056499369164,Inf,0.24187835202143526,0.35631034581672016,soil coverage
rad_L,surface,retained,0.3198447282502807,0.030349132767060125,Inf,0.2634883195402146,0.38200306591737626,soil coverage
rad_M,surface,retained,0.29571865255211555,0.02924183348385277,Inf,0.24177798840722733,0.3560425297629368,soil coverage
