cctrt_id,crop,emmean,SE,df,lower.CL,upper.CL
mix_E,faba bean,3.4227157728520288,0.12791000250511866,3,3.015649057970784,3.8297824877332736
mix_M,faba bean,3.385032434498065,0.12791000250511872,3,2.97796571961682,3.7920991493793097
nocc,faba bean,3.429891084536354,0.12791000250511866,3,3.022824369655109,3.8369577994175987
rad_L,faba bean,3.3908590107237115,0.12791000250511878,3,2.9837922958424663,3.797925725604957
rad_M,faba bean,3.7072630431815345,0.12791000250511878,3,3.3001963283002893,4.114329758062779
mix_E,oat,4.228439478767139,0.10987304510091166,3,3.8787744123354724,4.578104545198805
mix_M,oat,4.190756140413175,0.10987304510091171,3,3.841091073981508,4.540421206844841
nocc,oat,4.235614790451463,0.10987304510091161,3,3.885949724019797,4.58527985688313
rad_L,oat,4.196582716638821,0.10987304510091177,3,3.8469176502071547,4.546247783070489
rad_M,oat,4.512986749096644,0.1098730451009118,3,4.163321682664977,4.862651815528311
mix_E,spring barley,4.033375825960363,0.11413950853683925,3,3.6701329687304005,4.396618683190325
mix_M,spring barley,3.995692487606399,0.11413950853683934,3,3.632449630376436,4.358935344836361
nocc,spring barley,4.040551137644688,0.11413950853683925,3,3.677308280414726,4.4037939948746505
rad_L,spring barley,4.0015190638320455,0.11413950853683934,3,3.638276206602083,4.364761921062008
rad_M,spring barley,4.317923096289869,0.11413950853683937,3,3.9546802390599063,4.681165953519832
