eppo_code,NMDS1,NMDS2,NMDS3
soil,0.06050235165640282,-0.03639675482234858,-0.08963282526059457
volunteer,-0.1659812634169283,-0.1208126973115829,0.027257546236896003
trfre,-0.2792475139675776,0.6791974710038713,0.006821958635469436
lolpe,-0.2734784794770365,0.5878396927716935,0.046038694776344875
rapsr,0.626336330938676,-0.03326388390472719,0.11073963450635073
senss,-0.3345240940502798,-0.25108861933951276,0.03704792056951734
verss,-0.18779921000051045,-0.25070345754932927,-0.280640825260461
capbp,-0.25752763402017065,0.07219242433859714,-0.35529787195768364
paprh,-0.01668016797441555,-0.1259654830584262,-0.5492262624063081
cirar,-0.25830293675427424,0.13843026768835756,-0.24481494373390553
gerss,-0.243803265904514,0.0489736229051867,-0.16530711945797336
matin,-0.29551919128142,-0.016821661313365217,-0.23644323255926103
tarof,-0.14896580845574667,0.05633137185812058,-0.39314412524712383
ephex,-0.462725859213401,0.6207674340951947,0.15625285029469793
lamss,-0.08969338835750598,0.10251573633767515,-0.399486632270637
