cctrt_id,till_id,straw_id,emmean,SE,df,lower.CL,upper.CL,perf_cat
mix_E,inversion,removed,1.260812499999997,0.14699297729834804,3,0.7930152424942174,1.7286097575057766,fallbio
mix_M,inversion,removed,1.1363999999999925,0.14699297729834893,3,0.66860274249421,1.604197257505775,fallbio
nocc,inversion,removed,1.1642374999999965,0.14699297729834873,3,0.6964402424942147,1.6320347575057783,fallbio
rad_L,inversion,removed,1.1303624999999977,0.14699297729834887,3,0.6625652424942154,1.59815975750578,fallbio
rad_M,inversion,removed,1.4844249999999963,0.14699297729834856,3,1.016627742494215,1.9522222575057777,fallbio
mix_E,notill,removed,1.413037499999998,0.1469929772983487,3,0.9452402424942161,1.8808347575057798,fallbio
mix_M,notill,removed,1.8791124999999966,0.14699297729834873,3,1.4113152424942148,2.3469097575057782,fallbio
nocc,notill,removed,1.7280999999999973,0.14699297729834862,3,1.2603027424942157,2.195897257505779,fallbio
rad_L,notill,removed,1.9208624999999968,0.14699297729834881,3,1.4530652424942148,2.388659757505779,fallbio
rad_M,notill,removed,2.4581124999999973,0.14699297729834884,3,1.990315242494215,2.9259097575057793,fallbio
mix_E,surface,removed,1.2398749999999954,0.14699297729834876,3,0.7720777424942135,1.7076722575057772,fallbio
mix_M,surface,removed,1.4614374999999977,0.14699297729834931,3,0.993640242494214,1.9292347575057813,fallbio
nocc,surface,removed,1.2779374999999973,0.14699297729834873,3,0.8101402424942155,1.7457347575057791,fallbio
rad_L,surface,removed,1.3880999999999972,0.1469929772983489,3,0.9203027424942148,1.8558972575057795,fallbio
rad_M,surface,removed,1.930549999999998,0.14699297729834876,3,1.462752742494216,2.39834725750578,fallbio
mix_E,inversion,retained,1.5106499999999967,0.14699297729834868,3,1.0428527424942151,1.9784472575057783,fallbio
mix_M,inversion,retained,1.4237749999999978,0.1469929772983485,3,0.9559777424942166,1.891572257505779,fallbio
nocc,inversion,retained,1.3281499999999957,0.14699297729834865,3,0.8603527424942141,1.7959472575057773,fallbio
rad_L,inversion,retained,1.3032749999999973,0.14699297729834854,3,0.8354777424942161,1.7710722575057785,fallbio
rad_M,inversion,retained,1.800837499999997,0.1469929772983486,3,1.3330402424942156,2.2686347575057786,fallbio
mix_E,notill,retained,1.924224999999998,0.1469929772983486,3,1.4564277424942167,2.3920222575057792,fallbio
mix_M,notill,retained,1.8165124999999964,0.1469929772983487,3,1.3487152424942146,2.284309757505778,fallbio
nocc,notill,retained,1.8530999999999966,0.14699297729834945,3,1.3853027424942126,2.3208972575057807,fallbio
rad_L,notill,retained,1.8196999999999974,0.1469929772983488,3,1.3519027424942154,2.2874972575057795,fallbio
rad_M,notill,retained,2.7620499999999963,0.1469929772983492,3,2.294252742494213,3.2298472575057797,fallbio
mix_E,surface,retained,1.4695499999999966,0.14699297729834843,3,1.0017527424942156,1.9373472575057775,fallbio
mix_M,surface,retained,1.782087499999997,0.14699297729834898,3,1.3142902424942142,2.2498847575057797,fallbio
nocc,surface,retained,1.6516874999999964,0.14699297729834895,3,1.183890242494214,2.119484757505779,fallbio
rad_L,surface,retained,1.5914124999999975,0.14699297729834887,3,1.1236152424942152,2.05920975750578,fallbio
rad_M,surface,retained,1.9594749999999976,0.14699297729834895,3,1.4916777424942151,2.42727225750578,fallbio
