cctrt_id,crop,emmean,SE,df,lower.CL,upper.CL
mix_E,faba bean,3.0778002245416722,0.19174043849965755,3,2.467596574464959,3.6880038746183854
mix_M,faba bean,3.4129680134166724,0.19174043849965722,3,2.8027643633399606,4.023171663493384
nocc,faba bean,3.4855331002916716,0.19174043849965705,3,2.8753294502149602,4.095736750368383
rad_L,faba bean,3.516088737958337,0.19174043849965705,3,2.905885087881625,4.126292388035049
rad_M,faba bean,3.843371269583338,0.1917404384996573,3,3.233167619506626,4.453574919660051
mix_E,oat,4.21892091834817,0.11584331474877264,3,3.8502557893341205,4.587586047362219
mix_M,oat,4.185822392383755,0.11584331474877203,3,3.8171572633697077,4.554487521397802
nocc,oat,4.256513038580172,0.11584331474877312,3,3.8878479095661214,4.625178167594223
rad_L,oat,4.165846825354004,0.11584331474877185,3,3.7971816963399574,4.5345119543680505
rad_M,oat,4.53727670070113,0.11584331474877323,3,4.168611571687079,4.905941829715181
mix_E,spring barley,4.17035839808334,0.13117926873907634,3,3.752887418954848,4.587829377211832
mix_M,spring barley,3.9980934016666723,0.1311792687390749,3,3.580622422538185,4.41556438079516
nocc,spring barley,3.9726469437083383,0.1311792687390755,3,3.5551759645798486,4.3901179228368274
rad_L,spring barley,4.032671413708339,0.13117926873907607,3,3.615200434579848,4.45014239283683
rad_M,spring barley,4.215291454166674,0.13117926873907693,3,3.7978204750381797,4.632762433295167
