substance,product,concentration,SCI.Grow,Reference.SCI.Grow,Load.Factor.SCI,BCF,Reference.BCF,Load.Factor.BCF,SoilDT50,Reference.SoilDT50,Load.Factor.SoilDT50,Birds.Acute.LD50.mg.kg,Reference.Value.Birds,Load.Factor.Birds,Mammals.Acute.Oral.LD50.mg.kg.BW.day,Reference.Value.Mammals,Load.Factor.Mammals,Fish.Acute.96hr.LC50.mg.l,Reference.Value.Fish,Load.Factor.Fish,Aquatic.Invertebrates.Acute.48hr.EC50.mg.l,Reference.Value.Aquatic.Invertebrates,Load.Factor.Aquatic.Invertebrates,Algae.Acute.72hr.EC50.Growth.mg.l,Reference.Value.Algae,Load.Factor.Algae,Aquatic.Plants.Acute.7d.EC50.mg.l,Reference.Value.Aquatic.Plants,Load.Factor.Aquatic.Plants,Earthworms.Acute.14d.LC50.mg.kg,Reference.Value.Earthworms,Load.Factor.Earthworms,BeesLD50,Reference.Value.Bees,Load.Factor.Bees,Fish.Chronic.21d.NOEC.mg.l.corrected,Reference.Value.Fish.Chronic,Load.Factor.Fish.Chronic,water.phase.DT50.days,Aquatic.Invertebrates.Chronic.21d.NOEC.mg.l.correted,Reference.Value.Aquatic.Invertebrates.Chronic,Load.Factor.Aquatic.Invertebrates.Chronic,Earthworms.Chronic.14d.NOEC..Reproduction.mg.kg.corrected,Reference.Value.Earthworms.Chronic,Load.Factor.Earthworms.Chronic
florasulam,starane xl,0.0025,0.0372,10.91,20,1.5,5100,2.5,8.5,354,2.5,1046,49,1,5000,20,1,100,1e-4,30,292,2.3e-4,30,0.00984,2.5e-5,3,0.001,3.6e-4,3,1320,3.4,2,100,0.0015,100,119,3.1e-5,3,18,38.9,2.2e-6,3,0.203,0.2,2
fluroxypyr,metaxon,0.1,0.00233,10.91,20,62.1,5100,2.5,1,354,2.5,2000,49,1,2000,20,1,14.3,1e-4,30,100,2.3e-4,30,49.8,2.5e-5,3,12.3,3.6e-4,3,1000,3.4,2,100,0.0015,100,100,3.1e-5,3,10.5,56,2.2e-6,3,3.05,0.2,2
glyphosate,roundup flex xxl,0.48,0.00544,10.91,20,0.5,5100,2.5,23.79,354,2.5,2250,49,1,2000,20,1,38,1e-4,30,40,2.3e-4,30,19,2.5e-5,3,12,3.6e-4,3,5600,3.4,2,100,0.0015,100,1,3.1e-5,3,9.9,12.5,2.2e-6,3,28.8,0.2,2
