station;date;minte;maxte;temp;prec
613500;01-01-2014;1,6;3,9;2,7;0,1
613500;02-01-2014;1,3;6,6;3,6;6,2
613500;03-01-2014;3,9;7,5;5,7;3
613500;04-01-2014;4;6,7;5,3;0,1
613500;05-01-2014;3;5,6;4,9;0,2
613500;06-01-2014;2,6;7,8;4,9;6,9
613500;07-01-2014;6,3;8,8;7,7;3,9
613500;08-01-2014;6,5;8,3;7,3;0,2
613500;09-01-2014;5,1;8,6;6,4;10,7
613500;10-01-2014;4,7;6,8;5,8;0,4
613500;11-01-2014;3,6;6,2;5,2;7,3
613500;12-01-2014;-1,1;5,6;3,4;0,6
613500;13-01-2014;-1,9;3,8;0,3;1,2
613500;14-01-2014;1,9;4,3;3,3;0
613500;15-01-2014;0,9;4,2;2,8;0
613500;16-01-2014;0,5;2,3;1,5;6,9
613500;17-01-2014;0;2,1;1,2;4,2
613500;18-01-2014;1,6;2,9;2,2;2,3
613500;19-01-2014;0,9;2,7;1,7;0
613500;20-01-2014;0,1;1,5;1,1;0
613500;21-01-2014;-0,6;0,9;0,1;0,4
613500;22-01-2014;-1,1;0,9;-0,1;0
613500;23-01-2014;-3,3;-0,8;-2,1;0
613500;24-01-2014;-5,1;-1,5;-3,1;0
613500;25-01-2014;-8,1;-3,7;-5,7;0
613500;26-01-2014;-8,7;-4,9;-6,8;0
613500;27-01-2014;-8,3;-2,3;-4,2;1,5
613500;28-01-2014;-2,8;-0,2;-1,6;0
613500;29-01-2014;-5,6;-2,7;-4,4;0,1
613500;30-01-2014;-5,3;-3,2;-4;0
613500;31-01-2014;-4;-2;-3;0,1
613500;01-02-2014;-2,8;2,5;0,3;3,5
613500;02-02-2014;0,4;3,7;1,6;0
613500;03-02-2014;-1,6;3;0,3;0
613500;04-02-2014;-0,4;1,7;0,6;0,1
613500;05-02-2014;-0,5;3,7;0,7;0
613500;06-02-2014;0,5;5,2;2,9;0,3
613500;07-02-2014;2,4;6,1;4;9,1
613500;08-02-2014;1,4;4,7;3,5;2,7
613500;09-02-2014;2,6;6,5;4;3,4
613500;10-02-2014;1,6;5,8;3,6;0
613500;11-02-2014;-0,1;3,9;1,8;2,7
613500;12-02-2014;0,9;5;3;0,2
613500;13-02-2014;1;6,4;3,6;1,8
613500;14-02-2014;0,2;5,1;2,9;0
613500;15-02-2014;3,2;9,3;6,1;1,1
613500;16-02-2014;3;6,8;4,9;2,9
613500;17-02-2014;1,8;7;3,7;0
613500;18-02-2014;0,6;6,9;3,7;0,8
613500;19-02-2014;3,2;5,5;4,3;5,6
613500;20-02-2014;3,9;7,3;5,5;2,6
613500;21-02-2014;3;8,2;5,7;8,1
613500;22-02-2014;2,6;5,2;4;0,1
613500;23-02-2014;2,8;7,8;5,2;0
613500;24-02-2014;2,9;8,6;5,7;0
613500;25-02-2014;2;8,8;5,3;0
613500;26-02-2014;4,3;8,9;6,4;0
613500;27-02-2014;0,8;8,1;4,8;0
613500;28-02-2014;1,5;6,4;4,6;1,4
613500;01-03-2014;1,1;5,1;3,4;0,8
613500;02-03-2014;1,3;6;3,3;1,3
613500;03-03-2014;1,3;5,1;3,3;0
613500;04-03-2014;0,8;6;3,4;0,2
613500;05-03-2014;3,3;4,8;3,9;2,1
613500;06-03-2014;0,7;6,2;3,6;0
613500;07-03-2014;3,2;8,5;5,9;0,2
613500;08-03-2014;1,6;7,9;5,1;0
613500;09-03-2014;3,7;12,2;7,7;0
613500;10-03-2014;3,5;15,2;8,5;0
613500;11-03-2014;0,5;11,2;5,6;0
613500;12-03-2014;-1,2;11,3;4,7;0
613500;13-03-2014;-1,3;12,3;5,6;0
613500;14-03-2014;2,1;9,5;5,9;1,3
613500;15-03-2014;5,5;8,7;6,7;0,8
613500;16-03-2014;5,5;11,1;8,1;0,2
613500;17-03-2014;6,9;10,5;8,6;0
613500;18-03-2014;6,1;8,9;7,1;0,3
613500;19-03-2014;4,6;8,7;7;0
613500;20-03-2014;6,5;13,9;9,9;0
613500;21-03-2014;3,6;12;7,3;5,2
613500;22-03-2014;3,4;8,2;5,7;0,5
613500;23-03-2014;2,4;8,5;5,3;0
613500;24-03-2014;-1,9;9;3,5;0
613500;25-03-2014;-1,4;9;3,7;1,9
613500;26-03-2014;0,5;6,8;3,7;1,9
613500;27-03-2014;-0,4;8,4;3,4;0
613500;28-03-2014;3,2;12,3;6,5;0
613500;29-03-2014;1,8;11,9;6,1;0
613500;30-03-2014;1,8;14,8;7,7;0
613500;31-03-2014;2,1;10;5,3;0
613500;01-04-2014;2,6;6,8;4,4;0
613500;02-04-2014;2,8;8,9;5,4;0
613500;03-04-2014;1;10,8;5,2;0
613500;04-04-2014;0,8;7,2;3,7;0
613500;05-04-2014;3,1;6,6;5,3;1,1
613500;06-04-2014;6,1;11;8,5;2,1
613500;07-04-2014;9,9;13,4;11,2;5,1
613500;08-04-2014;7,1;13,4;10;1,5
613500;09-04-2014;4,8;10;7,7;0
613500;10-04-2014;4,8;8,2;6,2;0
613500;11-04-2014;3,9;11,6;7,8;3,4
613500;12-04-2014;0,6;10,6;6,1;1,4
613500;13-04-2014;6,5;11,4;8,5;0,5
613500;14-04-2014;4,9;9;6,7;3,6
613500;15-04-2014;2,4;9,1;6,3;0
613500;16-04-2014;0,1;11,8;6,6;0
613500;17-04-2014;2,9;13,2;8,2;3,5
613500;18-04-2014;3,3;9,2;6,6;0,5
613500;19-04-2014;2,2;16,7;9,4;0
613500;20-04-2014;7,6;20,1;13,1;0
613500;21-04-2014;10;16,5;12,6;0
613500;22-04-2014;8,3;18,8;12,9;0
613500;23-04-2014;7,1;11,2;9,1;0,4
613500;24-04-2014;4,4;11,3;7,1;3
613500;25-04-2014;4,4;17,2;10,7;0
613500;26-04-2014;4,3;19;11,8;0
613500;27-04-2014;6,3;19,2;12,3;0
613500;28-04-2014;4,4;19,5;12,1;0
613500;29-04-2014;3;18,9;12;0
613500;30-04-2014;5;17,4;12,2;0
613500;01-05-2014;3,7;11,2;8,2;0
613500;02-05-2014;2,3;10,8;6,9;1,1
613500;03-05-2014;-1;12,5;6,4;0
613500;04-05-2014;4,3;11,5;8,1;0
613500;05-05-2014;2,5;9,4;7,1;0,1
613500;06-05-2014;7,7;14,6;11;0,5
613500;07-05-2014;7,3;13,9;10,8;16
613500;08-05-2014;9,1;13,7;10,7;8,8
613500;09-05-2014;8,8;13,7;10,6;1,8
613500;10-05-2014;8,4;13,6;10,7;3,2
613500;11-05-2014;9;13,3;11;1
613500;12-05-2014;8,8;14;10,5;7,3
613500;13-05-2014;7,7;13;10;0,4
613500;14-05-2014;6,1;13,4;9,4;0,2
613500;15-05-2014;5,6;15,3;10,5;0
613500;16-05-2014;6,8;14,8;10,4;0
613500;17-05-2014;6,1;18,1;12,9;0
613500;18-05-2014;7,8;17,5;12,4;4,6
613500;19-05-2014;9,6;17,3;13;0
613500;20-05-2014;7;20;14,3;0
613500;21-05-2014;10,1;25,1;17,9;0
613500;22-05-2014;15;24,9;20;0
613500;23-05-2014;13,2;20,4;16,3;1,7
613500;24-05-2014;11,2;18,7;15;0
613500;25-05-2014;9,3;20,8;15,5;0
613500;26-05-2014;8,4;21,1;15,5;0
613500;27-05-2014;8,7;18,1;13,5;0
613500;28-05-2014;5,1;13,7;9,6;0
613500;29-05-2014;3,4;16,2;9,9;0
613500;30-05-2014;5,5;20,1;13,7;0
613500;31-05-2014;10,1;17,6;13;0
613500;01-06-2014;8,7;16,8;13,1;0
613500;02-06-2014;6,5;19,8;14,2;0
613500;03-06-2014;10,4;20,8;15,6;0
613500;04-06-2014;11;19,9;15;0
613500;05-06-2014;10,1;19;13,9;2,4
613500;06-06-2014;9,7;17,2;13,8;0
613500;07-06-2014;6,2;19,7;14,1;0
613500;08-06-2014;9,7;22,9;16,8;2
613500;09-06-2014;10,9;24,1;17,8;0
613500;10-06-2014;11,1;26,2;19;0
613500;11-06-2014;13,4;22,7;17,6;1,7
613500;12-06-2014;12,3;20,4;16,2;0
613500;13-06-2014;10,1;19,4;15;0
613500;14-06-2014;9;18,8;14,7;0
613500;15-06-2014;7,2;20,3;14,8;0
613500;16-06-2014;8,5;19,4;14,6;0
613500;17-06-2014;8,4;21,6;16;0
613500;18-06-2014;8,4;22;15,6;0
613500;19-06-2014;11,5;17,7;14;0,7
613500;20-06-2014;11,2;19,1;14,1;1,1
613500;21-06-2014;10;17,2;13,1;1,2
613500;22-06-2014;9,4;18;13,3;0
613500;23-06-2014;9,4;18,4;13,5;0
613500;24-06-2014;8,1;17,1;12,5;10,1
613500;25-06-2014;6,8;20,5;14,4;0
613500;26-06-2014;6,9;20,2;14,2;0
613500;27-06-2014;6,9;21,3;15,3;0,1
613500;28-06-2014;12,8;19,5;15,8;1,7
613500;29-06-2014;9;19,3;14,8;0
613500;30-06-2014;6,4;19,6;13,4;1,2
613500;01-07-2014;8,9;19,1;14;0
613500;02-07-2014;6,5;18,8;13,6;1,1
613500;03-07-2014;11,1;20,8;15,9;0,1
613500;04-07-2014;13,2;26,9;20,6;0
613500;05-07-2014;16;27,4;20,8;0,3
613500;06-07-2014;15,6;26,2;21;0
613500;07-07-2014;15,4;22,5;19,4;1,9
613500;08-07-2014;14,4;26,4;20,4;0
613500;09-07-2014;18,2;29;23,2;2,5
613500;10-07-2014;17,4;29;23;0
613500;11-07-2014;14,1;25,9;20,4;0
613500;12-07-2014;10,8;21,9;16,9;1,1
613500;13-07-2014;13,8;18,2;16;1,7
613500;14-07-2014;13,4;20,1;16,8;23,7
613500;15-07-2014;14,1;22,6;18,6;0
613500;16-07-2014;13,7;21,6;18;0
613500;17-07-2014;10;24,3;18,2;0
613500;18-07-2014;11,8;26,7;20,2;0
613500;19-07-2014;13,7;27,7;20,9;0
613500;20-07-2014;13,2;27,4;20,8;0
613500;21-07-2014;15,8;26,8;21,4;0
613500;22-07-2014;14,3;29,3;22;0
613500;23-07-2014;13,5;28,5;21,5;0
613500;24-07-2014;15,1;29;21,9;0
613500;25-07-2014;14,6;30,3;22,7;0
613500;26-07-2014;18;28,1;22,4;0,5
613500;27-07-2014;16;29;22,5;0
613500;28-07-2014;16,4;28;22,5;0
613500;29-07-2014;17,6;29,5;23,3;0
613500;30-07-2014;17,5;25,5;21;0
613500;31-07-2014;14,5;24,8;19,7;0
613500;01-08-2014;14,7;26,8;21,1;0,1
613500;02-08-2014;17,8;27,5;21,6;0
613500;03-08-2014;18,9;23,9;21;8,8
613500;04-08-2014;17,4;23,5;20,1;17,6
613500;05-08-2014;16,7;24,6;20,1;0
613500;06-08-2014;13,5;24,3;19,1;0,1
613500;07-08-2014;12,1;23,8;18,1;0
613500;08-08-2014;12,1;24,4;18,7;0
613500;09-08-2014;12,9;24,2;18,5;9,2
613500;10-08-2014;10,9;23,8;18,4;0,8
613500;11-08-2014;13,1;21,2;18,1;3,1
613500;12-08-2014;12,6;19,6;16,1;6,9
613500;13-08-2014;11,9;21,4;16,6;0,1
613500;14-08-2014;11,6;21,4;16,5;5,2
613500;15-08-2014;12,1;19,5;16,2;0
613500;16-08-2014;12,2;18,4;15,3;0
613500;17-08-2014;12,7;15,3;14,2;21,4
613500;18-08-2014;11,9;16,5;14,3;1,5
613500;19-08-2014;12,4;17,2;14,4;0
613500;20-08-2014;12,4;18,2;14,6;0
613500;21-08-2014;11,3;16,9;13,5;0,6
613500;22-08-2014;11,4;16,8;13,8;5,1
613500;23-08-2014;11,9;16,2;13,7;3
613500;24-08-2014;10,9;17,1;13,6;0
613500;25-08-2014;10,5;16,3;13;0
613500;26-08-2014;9,6;18,2;13,6;3,2
613500;27-08-2014;9,4;20,2;14,7;0
613500;28-08-2014;9,9;19,2;14,8;0
613500;29-08-2014;9,5;18,5;14,7;8,5
613500;30-08-2014;11,5;17,3;15,1;4,8
613500;31-08-2014;11,8;17,2;14,6;18,8
613500;01-09-2014;12,1;18,6;15,7;0
613500;02-09-2014;10,2;19,5;14,4;0
613500;03-09-2014;8,4;20,5;14,1;0
613500;04-09-2014;9,6;20,3;14,8;0
613500;05-09-2014;11,6;23,1;17;0
613500;06-09-2014;14;24;18,4;0
613500;07-09-2014;14,2;20,6;17,2;4
613500;08-09-2014;10;17,5;14,7;0
613500;09-09-2014;12,8;19,7;15,5;0
613500;10-09-2014;10,8;18,6;15;4,1
613500;11-09-2014;11,1;20,1;14,9;0
613500;12-09-2014;10,3;20,5;15,1;0
613500;13-09-2014;12,2;16,8;14,4;25,6
613500;14-09-2014;13,7;16,7;15,3;15,4
613500;15-09-2014;14,1;19,8;16,5;0
613500;16-09-2014;13,6;20,3;16,1;0
613500;17-09-2014;12,9;20,7;15,9;0
613500;18-09-2014;13,3;20,9;16,3;0
613500;19-09-2014;12,3;21,9;16,3;0
613500;20-09-2014;11,8;20,1;14,9;0
613500;21-09-2014;13,1;16,9;14,7;5,5
613500;22-09-2014;8,5;14;10,7;6,8
613500;23-09-2014;3,7;14,4;10,1;0
613500;24-09-2014;12,1;15,4;13,6;5,2
613500;25-09-2014;10,8;15;12,6;0,3
613500;26-09-2014;11,7;17,7;14,9;1,1
613500;27-09-2014;10,4;16,9;13,3;0
613500;28-09-2014;8,9;17,4;13,5;0
613500;29-09-2014;8,7;17,9;13,2;0
613500;30-09-2014;12,1;13,9;13,2;7,1
613500;01-10-2014;12,3;17,3;14,2;1,1
613500;02-10-2014;9,8;16,4;14,4;0
613500;03-10-2014;8,5;18,2;14,2;0
613500;04-10-2014;11,7;17;14,3;0
613500;05-10-2014;9;17;12,5;0
613500;06-10-2014;8,9;15,3;11,9;0
613500;07-10-2014;10,8;13,8;12,2;5,2
613500;08-10-2014;10,4;14,1;12,4;0,1
613500;09-10-2014;13;16,7;14,8;0,3
613500;10-10-2014;10,3;15,9;13,5;0
613500;11-10-2014;8,6;17;12,7;0
613500;12-10-2014;7,2;15,2;12,5;4,1
613500;13-10-2014;7,4;12,5;10,7;11,7
613500;14-10-2014;9,6;11,2;10,4;13,7
613500;15-10-2014;11;13,9;12,4;1,3
613500;16-10-2014;10,8;14,6;12,3;3,6
613500;17-10-2014;11,3;15;12,6;1,9
613500;18-10-2014;11,3;14,6;13,1;0
613500;19-10-2014;14,1;15,6;14,8;28,8
613500;20-10-2014;11,5;14,7;13,1;2,1
613500;21-10-2014;8,3;12,9;11,3;13,4
613500;22-10-2014;7,5;13,7;11;1,2
613500;23-10-2014;10,3;11,8;11,1;2,7
613500;24-10-2014;10,6;12,7;11,5;0,2
613500;25-10-2014;8,6;12,2;10,4;5,5
613500;26-10-2014;8,7;13,1;11,6;0
613500;27-10-2014;11;13,9;12,6;0
613500;28-10-2014;7,9;13,7;10,8;0
613500;29-10-2014;3,4;11,8;8,5;0
613500;30-10-2014;0,8;11,4;5,6;0
613500;31-10-2014;7,2;11,6;10;0,9
613500;01-11-2014;10,8;15,6;12,3;0
613500;02-11-2014;10,5;14,4;12,1;0
613500;03-11-2014;11,7;13,1;12,3;1,3
613500;04-11-2014;8,4;13,4;11,2;1
613500;05-11-2014;7,3;8,9;8,1;17,6
613500;06-11-2014;4,7;8,9;7,9;0,3
613500;07-11-2014;4,2;9,7;7,3;0,2
613500;08-11-2014;7,1;10;8,7;0
613500;09-11-2014;6,5;11,3;8,4;0
613500;10-11-2014;7,7;9,6;8,7;0,9
613500;11-11-2014;5,2;10,1;7,9;0
613500;12-11-2014;9,6;11,8;10,8;0
613500;13-11-2014;9,8;11,3;10,4;1,9
613500;14-11-2014;8,9;10,6;9,8;0
613500;15-11-2014;8,7;9,8;9,2;0
613500;16-11-2014;7,2;9,8;8,2;3,6
613500;17-11-2014;7,4;9,7;8,5;0,5
613500;18-11-2014;5,8;8,5;7,3;0,2
613500;19-11-2014;4,5;6,1;5,2;0,2
613500;20-11-2014;4,2;5,9;5;0,4
613500;21-11-2014;0,9;7,2;3,9;0,1
613500;22-11-2014;3,5;6,4;5,2;4,2
613500;23-11-2014;5,2;7,5;6,1;1,4
613500;24-11-2014;5,5;9,2;7,8;4,2
613500;25-11-2014;0,7;8,9;5,2;0
613500;26-11-2014;3,9;7,1;5,3;0
613500;27-11-2014;2,4;5,6;3,8;0
613500;28-11-2014;1;5,2;3;0
613500;29-11-2014;0,5;3,1;1,9;0
613500;30-11-2014;-0,5;2,5;0,5;0
613500;01-12-2014;0,7;3,1;1,9;0
613500;02-12-2014;-0,7;1,1;0,2;0
613500;03-12-2014;0,6;1,7;1;0
613500;04-12-2014;0,9;6;3;0
613500;05-12-2014;2,6;5,8;3,6;2,4
613500;06-12-2014;0,2;6,3;3,8;1,4
613500;07-12-2014;0,5;5,6;4,2;6,7
613500;08-12-2014;2,3;5,4;3,9;0
613500;09-12-2014;0;3,6;2,6;0
613500;10-12-2014;2,7;6;4,2;4,9
613500;11-12-2014;2,2;5,2;3,8;6,6
613500;12-12-2014;1,4;7,9;4,3;13,6
613500;13-12-2014;2,6;6,6;4,5;0,2
613500;14-12-2014;2,1;4,4;3,4;0
613500;15-12-2014;3,3;5,5;4,3;2,2
613500;16-12-2014;2,8;5,2;4;0,6
613500;17-12-2014;3,4;5,2;4,1;0,2
613500;18-12-2014;3,7;10,2;7,5;1,9
613500;19-12-2014;4,3;10,1;7,3;0,1
613500;20-12-2014;1,3;5,9;4,3;7,6
613500;21-12-2014;4;7,5;5,5;4,5
613500;22-12-2014;6,8;9,4;8,2;6,9
613500;23-12-2014;6,1;8,1;7,2;1,4
613500;24-12-2014;3,7;8,4;5,9;11,4
613500;25-12-2014;-4,8;4,3;0,3;7,1
613500;26-12-2014;-6,5;0,9;-2,3;0
613500;27-12-2014;-4,1;1,1;-1,4;0
613500;28-12-2014;-6;0,1;-2,4;6,1
613500;29-12-2014;-11,2;0,8;-3,9;3,8
613500;30-12-2014;0,3;4;2,5;0
613500;31-12-2014;3,4;7,6;5,7;0,8
613500;01-01-2015;4;6,1;4,9;0
613500;02-01-2015;3,2;9,1;5,8;3,6
613500;03-01-2015;0,9;5,7;3,9;6,1
613500;04-01-2015;1,8;4,3;3,3;0,3
613500;05-01-2015;2,7;5,6;3,8;2
