DateTime;Middeltemperatur;Maksimumtemperatur;Minimumtemperatur
01-01-2024 00:00;5.6;5.9;5.4
01-01-2024 01:00;5.3;5.6;5.1
01-01-2024 02:00;5.1;5.3;4.9
01-01-2024 03:00;5.1;5.4;4.8
01-01-2024 04:00;5.3;5.5;5.1
01-01-2024 05:00;5.3;5.5;5.1
01-01-2024 06:00;5.4;5.6;5.2
01-01-2024 07:00;5.2;5.4;5
01-01-2024 08:00;5.2;5.4;5
01-01-2024 09:00;5.2;5.4;4.9
01-01-2024 10:00;5.6;5.8;5.2
01-01-2024 11:00;5.7;5.9;5.5
01-01-2024 12:00;5.8;6;5.6
01-01-2024 13:00;5.8;6;5.7
01-01-2024 14:00;5.8;5.9;5.5
01-01-2024 15:00;5.5;5.7;5.3
01-01-2024 16:00;5.2;5.4;4.9
01-01-2024 17:00;4.9;5.1;4.8
01-01-2024 18:00;5.2;5.4;4.8
01-01-2024 19:00;5.3;5.5;5.1
01-01-2024 20:00;5.4;5.6;5.2
01-01-2024 21:00;5.5;5.7;5.3
01-01-2024 22:00;5.4;5.6;5.2
01-01-2024 23:00;5.3;5.5;5.1
02-01-2024 00:00;5.2;5.5;5
02-01-2024 01:00;5.1;5.3;4.9
02-01-2024 02:00;5.1;5.3;4.9
02-01-2024 03:00;4.9;5.2;4.6
02-01-2024 04:00;4.7;4.9;4.4
02-01-2024 05:00;4.6;4.9;4.4
02-01-2024 06:00;4.8;5;4.6
02-01-2024 07:00;4.7;4.9;4.4
02-01-2024 08:00;4.5;4.6;4.3
02-01-2024 09:00;4.5;4.7;4.3
02-01-2024 10:00;4.6;4.8;4.4
02-01-2024 11:00;4.9;5.2;4.6
02-01-2024 12:00;5.6;6.1;5
02-01-2024 13:00;5.7;5.9;5.4
02-01-2024 14:00;5.3;5.6;4.9
02-01-2024 15:00;4.7;5.1;4.4
02-01-2024 16:00;4.4;4.7;4
02-01-2024 17:00;3.9;4.3;3.7
02-01-2024 18:00;3.8;4;3.6
02-01-2024 19:00;3.9;4.1;3.7
02-01-2024 20:00;3.8;4.1;3.6
02-01-2024 21:00;3.8;4;3.5
02-01-2024 22:00;3.9;4.1;3.7
02-01-2024 23:00;3.8;4.1;3.5
03-01-2024 00:00;3.3;3.6;2.9
03-01-2024 01:00;2.9;3.2;2.7
03-01-2024 02:00;2.6;2.9;2.3
03-01-2024 03:00;2.4;2.5;2.2
03-01-2024 04:00;2.4;2.6;2.2
03-01-2024 05:00;2.3;2.5;2.1
03-01-2024 06:00;2.3;2.5;2.1
03-01-2024 07:00;2.3;2.5;2
03-01-2024 08:00;2.2;2.4;2
03-01-2024 09:00;2.2;2.4;2
03-01-2024 10:00;2.4;2.6;2.1
03-01-2024 11:00;2.5;2.7;2.3
03-01-2024 12:00;2.4;2.7;2.2
03-01-2024 13:00;2.2;2.4;2
03-01-2024 14:00;2.2;2.4;2.1
03-01-2024 15:00;2.2;2.4;2
03-01-2024 16:00;2.2;2.4;1.9
03-01-2024 17:00;1.8;2.1;1.6
03-01-2024 18:00;1.7;1.8;1.5
03-01-2024 19:00;1.4;1.6;1
03-01-2024 20:00;0.8;1.3;0.5
03-01-2024 21:00;0.6;0.8;0.4
03-01-2024 22:00;0.4;0.6;0.2
