plot_id,parc,block,straw,till_id,cctrt_id
3_05_02,30502,B1,retained,noninversion,mix_E
3_05_03,30503,B1,retained,noninversion,rad_M
3_05_04,30504,B1,retained,noninversion,rad_L
3_05_05,30505,B1,retained,noninversion,mix_M
3_05_06,30506,B1,retained,noninversion,nocc
3_06_02,30602,B1,retained,inversion,mix_E
3_06_03,30603,B1,retained,inversion,rad_M
3_06_04,30604,B1,retained,inversion,rad_L
3_06_05,30605,B1,retained,inversion,mix_M
3_06_06,30606,B1,retained,inversion,nocc
3_08_02,30802,B1,retained,notill,mix_E
3_08_03,30803,B1,retained,notill,rad_M
3_08_04,30804,B1,retained,notill,rad_L
3_08_05,30805,B1,retained,notill,mix_M
3_08_06,30806,B1,retained,notill,nocc
3_14_02,31402,B1,removed,noninversion,mix_E
3_14_03,31403,B1,removed,noninversion,rad_M
3_14_04,31404,B1,removed,noninversion,rad_L
3_14_05,31405,B1,removed,noninversion,mix_M
3_14_06,31406,B1,removed,noninversion,nocc
3_15_02,31502,B1,removed,notill,mix_E
3_15_03,31503,B1,removed,notill,rad_M
3_15_04,31504,B1,removed,notill,rad_L
3_15_05,31505,B1,removed,notill,mix_M
3_15_06,31506,B1,removed,notill,nocc
3_16_02,31602,B1,removed,inversion,mix_E
3_16_03,31603,B1,removed,inversion,rad_M
3_16_04,31604,B1,removed,inversion,rad_L
3_16_05,31605,B1,removed,inversion,mix_M
3_16_06,31606,B1,removed,inversion,nocc
3_18_01,31801,B2,removed,inversion,rad_M
3_18_02,31802,B2,removed,inversion,mix_E
3_18_03,31803,B2,removed,inversion,nocc
3_18_05,31805,B2,removed,inversion,mix_M
3_18_06,31806,B2,removed,inversion,rad_L
3_19_01,31901,B2,removed,noninversion,rad_M
3_19_02,31902,B2,removed,noninversion,mix_E
3_19_03,31903,B2,removed,noninversion,nocc
3_19_05,31905,B2,removed,noninversion,mix_M
3_19_06,31906,B2,removed,noninversion,rad_L
3_20_01,32001,B2,removed,notill,rad_M
3_20_02,32002,B2,removed,notill,mix_E
3_20_03,32003,B2,removed,notill,nocc
