plot_id,year,exp_year,date2,subrep,dicot,monocot,cirar,equar
3_15_03,2019,1_subsp,2019-05-22,2,20,12,0,0
3_15_03,2019,1_subsp,2019-05-22,3,8,0,0,0
3_15_04,2019,1_subsp,2019-05-22,1,20,12,8,0
3_15_04,2019,1_subsp,2019-05-22,2,28,8,0,0
3_15_04,2019,1_subsp,2019-05-22,3,16,0,0,0
3_15_05,2019,1_subsp,2019-05-22,1,52,20,0,0
3_15_05,2019,1_subsp,2019-05-22,2,8,20,0,0
3_15_05,2019,1_subsp,2019-05-22,3,16,24,0,0
3_15_06,2019,1_subsp,2019-05-22,1,12,4,0,0
3_15_06,2019,1_subsp,2019-05-22,2,20,0,0,0
3_15_06,2019,1_subsp,2019-05-22,3,16,0,0,0
3_16_02,2019,1_subsp,2019-05-22,1,272,0,0,0
3_16_02,2019,1_subsp,2019-05-22,2,288,0,0,0
3_16_02,2019,1_subsp,2019-05-22,3,308,0,0,0
3_16_03,2019,1_subsp,2019-05-22,1,264,4,0,0
3_16_03,2019,1_subsp,2019-05-22,2,376,20,0,0
3_16_03,2019,1_subsp,2019-05-22,3,224,16,0,0
3_16_04,2019,1_subsp,2019-05-22,1,248,0,0,0
3_16_04,2019,1_subsp,2019-05-22,2,312,8,0,0
3_16_04,2019,1_subsp,2019-05-22,3,272,12,0,0
3_16_05,2019,1_subsp,2019-05-22,1,120,12,0,0
3_16_05,2019,1_subsp,2019-05-22,2,152,4,0,0
3_16_05,2019,1_subsp,2019-05-22,3,152,12,0,0
3_16_06,2019,1_subsp,2019-05-22,1,144,0,0,0
3_16_06,2019,1_subsp,2019-05-22,2,256,8,0,0
3_16_06,2019,1_subsp,2019-05-22,3,200,8,0,0
3_18_01,2019,1_subsp,2019-05-22,1,248,8,0,0
3_18_01,2019,1_subsp,2019-05-22,2,260,12,0,0
3_18_01,2019,1_subsp,2019-05-22,3,296,20,0,0
3_18_02,2019,1_subsp,2019-05-22,1,332,0,0,0
3_18_02,2019,1_subsp,2019-05-22,2,232,0,0,0
3_18_02,2019,1_subsp,2019-05-22,3,328,0,0,0
3_18_03,2019,1_subsp,2019-05-22,1,192,20,0,0
3_18_03,2019,1_subsp,2019-05-22,2,212,8,0,0
3_18_03,2019,1_subsp,2019-05-22,3,208,8,0,0
3_18_05,2019,1_subsp,2019-05-22,1,224,40,0,0
3_18_05,2019,1_subsp,2019-05-22,2,196,20,0,0
3_18_05,2019,1_subsp,2019-05-22,3,252,24,0,0
3_18_06,2019,1_subsp,2019-05-22,1,184,8,0,0
3_18_06,2019,1_subsp,2019-05-22,2,244,8,0,0
3_18_06,2019,1_subsp,2019-05-22,3,264,16,0,0
3_19_01,2019,1_subsp,2019-05-22,1,132,8,0,0
3_19_01,2019,1_subsp,2019-05-22,2,96,12,0,0
3_19_01,2019,1_subsp,2019-05-22,3,152,24,0,0
3_19_02,2019,1_subsp,2019-05-22,1,224,0,12,0
3_19_02,2019,1_subsp,2019-05-22,2,248,0,16,0
3_19_02,2019,1_subsp,2019-05-22,3,332,0,4,0
3_19_03,2019,1_subsp,2019-05-22,1,100,16,0,0
3_19_03,2019,1_subsp,2019-05-22,2,184,0,0,0
3_19_03,2019,1_subsp,2019-05-22,3,248,8,0,0
3_19_05,2019,1_subsp,2019-05-22,1,88,12,0,0
3_19_05,2019,1_subsp,2019-05-22,2,136,12,0,0
3_19_05,2019,1_subsp,2019-05-22,3,184,24,4,0
3_19_06,2019,1_subsp,2019-05-22,1,220,12,12,0
3_19_06,2019,1_subsp,2019-05-22,2,216,0,4,0
3_19_06,2019,1_subsp,2019-05-22,3,128,20,0,0
3_20_01,2019,1_subsp,2019-05-22,1,12,0,4,0
3_20_01,2019,1_subsp,2019-05-22,2,24,8,0,0
3_20_01,2019,1_subsp,2019-05-22,3,40,28,0,0
3_20_02,2019,1_subsp,2019-05-22,1,192,0,0,0
3_20_02,2019,1_subsp,2019-05-22,2,224,0,0,0
3_20_02,2019,1_subsp,2019-05-22,3,192,0,48,4
3_20_03,2019,1_subsp,2019-05-22,1,20,12,8,0
3_20_03,2019,1_subsp,2019-05-22,2,28,8,0,0
3_20_03,2019,1_subsp,2019-05-22,3,48,0,8,0
3_20_05,2019,1_subsp,2019-05-22,1,24,8,4,24
3_20_05,2019,1_subsp,2019-05-22,2,32,0,0,20
3_20_05,2019,1_subsp,2019-05-22,3,64,0,0,52
3_20_06,2019,1_subsp,2019-05-22,1,88,4,0,0
3_20_06,2019,1_subsp,2019-05-22,2,152,0,0,0
3_20_06,2019,1_subsp,2019-05-22,3,24,0,0,0
3_26_01,2019,1_subsp,2019-05-22,1,8,12,0,0
3_26_01,2019,1_subsp,2019-05-22,2,48,8,0,0
3_26_01,2019,1_subsp,2019-05-22,3,16,12,0,0
3_26_02,2019,1_subsp,2019-05-22,1,260,0,0,0
3_26_02,2019,1_subsp,2019-05-22,2,128,0,36,0
3_26_02,2019,1_subsp,2019-05-22,3,260,0,36,0
3_26_03,2019,1_subsp,2019-05-22,1,16,20,0,0
3_26_03,2019,1_subsp,2019-05-22,2,28,12,0,0
3_26_03,2019,1_subsp,2019-05-22,3,56,4,0,0
3_26_05,2019,1_subsp,2019-05-22,1,32,0,0,0
3_26_05,2019,1_subsp,2019-05-22,2,56,0,0,0
3_26_05,2019,1_subsp,2019-05-22,3,104,12,0,0
3_26_06,2019,1_subsp,2019-05-22,1,64,16,0,0
3_26_06,2019,1_subsp,2019-05-22,2,48,8,0,0
3_26_06,2019,1_subsp,2019-05-22,3,40,0,0,0
3_27_01,2019,1_subsp,2019-05-22,1,216,0,0,0
3_27_01,2019,1_subsp,2019-05-22,2,184,0,0,0
3_27_01,2019,1_subsp,2019-05-22,3,272,8,0,0
3_27_02,2019,1_subsp,2019-05-22,1,368,0,0,0
3_27_02,2019,1_subsp,2019-05-22,2,324,0,0,0
3_27_02,2019,1_subsp,2019-05-22,3,296,0,0,0
3_27_03,2019,1_subsp,2019-05-22,1,260,8,0,0
3_27_03,2019,1_subsp,2019-05-22,2,232,8,0,0
3_27_03,2019,1_subsp,2019-05-22,3,300,12,0,0
3_27_05,2019,1_subsp,2019-05-22,1,248,12,0,0
3_27_05,2019,1_subsp,2019-05-22,2,216,8,0,0
3_27_05,2019,1_subsp,2019-05-22,3,152,16,0,0
3_27_06,2019,1_subsp,2019-05-22,1,176,8,0,0
3_27_06,2019,1_subsp,2019-05-22,2,136,12,0,4
3_27_06,2019,1_subsp,2019-05-22,3,216,12,0,8
3_28_01,2019,1_subsp,2019-05-22,1,520,0,0,0
3_28_01,2019,1_subsp,2019-05-22,2,440,0,0,0
3_28_01,2019,1_subsp,2019-05-22,3,360,0,0,0
3_28_02,2019,1_subsp,2019-05-22,1,200,0,0,0
3_28_02,2019,1_subsp,2019-05-22,2,180,0,0,0
3_28_02,2019,1_subsp,2019-05-22,3,220,0,0,0
3_28_03,2019,1_subsp,2019-05-22,1,280,12,0,0
3_28_03,2019,1_subsp,2019-05-22,2,248,16,0,0
3_28_03,2019,1_subsp,2019-05-22,3,440,20,0,0
3_28_05,2019,1_subsp,2019-05-22,1,280,8,0,0
3_28_05,2019,1_subsp,2019-05-22,2,440,8,0,0
3_28_05,2019,1_subsp,2019-05-22,3,520,8,0,0
3_28_06,2019,1_subsp,2019-05-22,1,340,8,0,0
3_28_06,2019,1_subsp,2019-05-22,2,380,0,0,0
3_28_06,2019,1_subsp,2019-05-22,3,312,0,0,0
3_41_01,2019,1_subsp,2019-05-22,1,32,0,0,4
3_41_01,2019,1_subsp,2019-05-22,2,88,0,0,0
3_41_01,2019,1_subsp,2019-05-22,3,112,0,0,0
3_41_02,2019,1_subsp,2019-05-22,1,184,0,0,0
3_41_02,2019,1_subsp,2019-05-22,2,152,0,0,0
3_41_02,2019,1_subsp,2019-05-22,3,136,0,0,0
3_41_03,2019,1_subsp,2019-05-22,1,264,0,0,0
3_41_03,2019,1_subsp,2019-05-22,2,240,0,0,0
3_41_03,2019,1_subsp,2019-05-22,3,184,0,0,0
3_41_04,2019,1_subsp,2019-05-22,1,248,0,0,0
3_41_04,2019,1_subsp,2019-05-22,2,224,20,0,0
3_41_04,2019,1_subsp,2019-05-22,3,300,0,0,0
3_41_05,2019,1_subsp,2019-05-22,1,208,0,0,0
3_41_05,2019,1_subsp,2019-05-22,2,288,16,0,0
3_41_05,2019,1_subsp,2019-05-22,3,224,12,0,0
3_43_01,2019,1_subsp,2019-05-22,1,20,16,0,0
3_43_01,2019,1_subsp,2019-05-22,2,24,28,0,0
3_43_01,2019,1_subsp,2019-05-22,3,60,12,0,0
3_43_02,2019,1_subsp,2019-05-22,1,72,0,0,0
3_43_02,2019,1_subsp,2019-05-22,2,148,0,0,0
3_43_02,2019,1_subsp,2019-05-22,3,200,8,0,0
3_43_03,2019,1_subsp,2019-05-22,1,80,28,0,0
3_43_03,2019,1_subsp,2019-05-22,2,200,0,0,0
3_43_03,2019,1_subsp,2019-05-22,3,8,24,4,0
3_43_04,2019,1_subsp,2019-05-22,1,0,20,0,0
3_43_04,2019,1_subsp,2019-05-22,2,0,4,0,0
3_43_04,2019,1_subsp,2019-05-22,3,8,0,0,0
3_43_05,2019,1_subsp,2019-05-22,1,12,0,0,0
3_43_05,2019,1_subsp,2019-05-22,2,76,12,0,0
3_43_05,2019,1_subsp,2019-05-22,3,80,12,0,0
3_44_01,2019,1_subsp,2019-05-22,1,100,0,0,0
3_44_01,2019,1_subsp,2019-05-22,2,88,24,0,0
3_44_01,2019,1_subsp,2019-05-22,3,112,16,0,0
3_44_02,2019,1_subsp,2019-05-22,1,208,0,16,0
3_44_02,2019,1_subsp,2019-05-22,2,216,0,8,0
3_44_02,2019,1_subsp,2019-05-22,3,128,0,4,0
3_44_03,2019,1_subsp,2019-05-22,1,88,0,0,0
3_44_03,2019,1_subsp,2019-05-22,2,120,0,0,0
3_44_03,2019,1_subsp,2019-05-22,3,96,4,0,0
3_44_04,2019,1_subsp,2019-05-22,1,104,0,0,0
3_44_04,2019,1_subsp,2019-05-22,2,64,8,0,0
3_44_04,2019,1_subsp,2019-05-22,3,120,4,0,0
3_44_05,2019,1_subsp,2019-05-22,1,212,0,0,0
3_44_05,2019,1_subsp,2019-05-22,2,136,20,0,0
3_44_05,2019,1_subsp,2019-05-22,3,192,16,0,0
3_46_02,2019,1_subsp,2019-05-22,1,144,8,0,0
3_46_02,2019,1_subsp,2019-05-22,2,96,0,0,0
3_46_02,2019,1_subsp,2019-05-22,3,112,8,0,0
3_46_03,2019,1_subsp,2019-05-22,1,16,0,0,0
3_46_03,2019,1_subsp,2019-05-22,2,8,0,0,0
3_46_03,2019,1_subsp,2019-05-22,3,4,0,0,0
3_46_04,2019,1_subsp,2019-05-22,1,32,16,0,0
3_46_04,2019,1_subsp,2019-05-22,2,12,16,0,4
3_46_04,2019,1_subsp,2019-05-22,3,24,4,0,0
3_46_05,2019,1_subsp,2019-05-22,1,8,8,0,0
3_46_05,2019,1_subsp,2019-05-22,2,0,8,0,20
3_46_05,2019,1_subsp,2019-05-22,3,32,0,4,0
3_46_06,2019,1_subsp,2019-05-22,1,24,12,0,0
3_46_06,2019,1_subsp,2019-05-22,2,20,4,0,0
3_46_06,2019,1_subsp,2019-05-22,3,24,0,0,0
3_47_02,2019,1_subsp,2019-05-22,1,208,0,0,0
3_47_02,2019,1_subsp,2019-05-22,2,360,0,28,0
3_47_02,2019,1_subsp,2019-05-22,3,280,0,0,0
3_47_03,2019,1_subsp,2019-05-22,1,168,0,0,0
3_47_03,2019,1_subsp,2019-05-22,2,136,8,28,0
3_47_03,2019,1_subsp,2019-05-22,3,160,20,0,0
3_47_04,2019,1_subsp,2019-05-22,1,168,8,0,0
3_47_04,2019,1_subsp,2019-05-22,2,128,4,0,0
3_47_04,2019,1_subsp,2019-05-22,3,112,8,0,0
3_47_05,2019,1_subsp,2019-05-22,1,88,0,0,0
3_47_05,2019,1_subsp,2019-05-22,2,72,8,0,0
3_47_05,2019,1_subsp,2019-05-22,3,56,8,0,0
3_47_06,2019,1_subsp,2019-05-22,1,128,0,0,0
3_47_06,2019,1_subsp,2019-05-22,2,104,0,0,0
3_47_06,2019,1_subsp,2019-05-22,3,164,0,0,0
3_48_02,2019,1_subsp,2019-05-22,1,520,0,0,0
3_48_02,2019,1_subsp,2019-05-22,2,280,0,0,0
3_48_02,2019,1_subsp,2019-05-22,3,200,0,0,0
3_48_03,2019,1_subsp,2019-05-22,1,400,0,0,0
3_48_03,2019,1_subsp,2019-05-22,2,360,0,0,0
3_48_03,2019,1_subsp,2019-05-22,3,260,0,0,0
3_48_04,2019,1_subsp,2019-05-22,1,208,0,0,0
3_48_04,2019,1_subsp,2019-05-22,2,400,0,0,0
3_48_04,2019,1_subsp,2019-05-22,3,360,0,0,0
3_48_05,2019,1_subsp,2019-05-22,1,400,0,0,0
3_48_05,2019,1_subsp,2019-05-22,2,280,0,0,0
3_48_05,2019,1_subsp,2019-05-22,3,280,0,0,0
3_48_06,2019,1_subsp,2019-05-22,1,240,0,0,0
3_48_06,2019,1_subsp,2019-05-22,2,120,8,0,0
3_48_06,2019,1_subsp,2019-05-22,3,136,4,0,0
3_49_01,2019,1_subsp,2019-05-22,1,16,40,0,56
3_49_01,2019,1_subsp,2019-05-22,2,32,12,0,0
3_49_01,2019,1_subsp,2019-05-22,3,28,60,0,0
3_49_02,2019,1_subsp,2019-05-22,1,192,8,0,0
3_49_02,2019,1_subsp,2019-05-22,2,184,8,0,0
3_49_02,2019,1_subsp,2019-05-22,3,180,0,12,0
3_49_03,2019,1_subsp,2019-05-22,1,0,12,4,0
3_49_03,2019,1_subsp,2019-05-22,2,12,4,8,0
3_49_03,2019,1_subsp,2019-05-22,3,28,24,20,0
3_49_05,2019,1_subsp,2019-05-22,1,24,0,0,0
3_49_05,2019,1_subsp,2019-05-22,2,48,16,0,0
3_49_05,2019,1_subsp,2019-05-22,3,24,8,0,0
3_49_06,2019,1_subsp,2019-05-22,1,20,8,0,0
3_49_06,2019,1_subsp,2019-05-22,2,8,44,0,0
3_49_06,2019,1_subsp,2019-05-22,3,8,0,0,0
3_51_01,2019,1_subsp,2019-05-22,1,360,0,0,0
3_51_01,2019,1_subsp,2019-05-22,2,280,0,0,0
3_51_01,2019,1_subsp,2019-05-22,3,200,0,0,0
3_51_02,2019,1_subsp,2019-05-22,1,180,0,0,0
3_51_02,2019,1_subsp,2019-05-22,2,240,0,0,0
3_51_02,2019,1_subsp,2019-05-22,3,200,0,0,0
3_51_03,2019,1_subsp,2019-05-22,1,400,0,0,0
3_51_03,2019,1_subsp,2019-05-22,2,320,0,0,0
3_51_03,2019,1_subsp,2019-05-22,3,200,0,0,0
3_51_05,2019,1_subsp,2019-05-22,1,300,0,0,0
3_51_05,2019,1_subsp,2019-05-22,2,380,0,0,0
3_51_05,2019,1_subsp,2019-05-22,3,340,0,0,0
3_51_06,2019,1_subsp,2019-05-22,1,480,0,0,0
3_51_06,2019,1_subsp,2019-05-22,2,520,0,0,0
3_51_06,2019,1_subsp,2019-05-22,3,600,0,0,0
3_52_01,2019,1_subsp,2019-05-22,1,140,0,12,0
3_52_01,2019,1_subsp,2019-05-22,2,260,0,0,0
3_52_01,2019,1_subsp,2019-05-22,3,140,0,0,0
3_52_02,2019,1_subsp,2019-05-22,1,160,0,0,0
3_52_02,2019,1_subsp,2019-05-22,2,160,0,0,0
3_52_02,2019,1_subsp,2019-05-22,3,140,0,0,0
3_52_03,2019,1_subsp,2019-05-22,1,152,0,0,0
3_52_03,2019,1_subsp,2019-05-22,2,112,8,0,0
3_52_03,2019,1_subsp,2019-05-22,3,224,0,0,0
3_52_05,2019,1_subsp,2019-05-22,1,128,8,0,0
3_52_05,2019,1_subsp,2019-05-22,2,128,12,0,0
3_52_05,2019,1_subsp,2019-05-22,3,220,8,0,0
3_52_06,2019,1_subsp,2019-05-22,1,168,0,0,0
3_52_06,2019,1_subsp,2019-05-22,2,96,0,0,12
3_52_06,2019,1_subsp,2019-05-22,3,160,0,0,24
3_53_01,2019,1_subsp,2019-05-22,1,8,16,0,20
3_53_01,2019,1_subsp,2019-05-22,2,8,0,0,16
3_53_01,2019,1_subsp,2019-05-22,3,8,0,0,4
3_53_02,2019,1_subsp,2019-05-22,1,64,0,4,0
3_53_02,2019,1_subsp,2019-05-22,2,32,0,40,4
3_53_02,2019,1_subsp,2019-05-22,3,120,0,48,0
3_53_04,2019,1_subsp,2019-05-22,1,8,4,0,0
3_53_04,2019,1_subsp,2019-05-22,2,4,0,0,0
3_53_04,2019,1_subsp,2019-05-22,3,28,0,0,0
3_53_05,2019,1_subsp,2019-05-22,1,8,0,0,0
3_53_05,2019,1_subsp,2019-05-22,2,20,24,0,0
3_53_05,2019,1_subsp,2019-05-22,3,8,4,0,24
3_53_06,2019,1_subsp,2019-05-22,1,0,16,0,8
3_53_06,2019,1_subsp,2019-05-22,2,12,0,0,20
3_53_06,2019,1_subsp,2019-05-22,3,8,8,0,8
3_54_01,2019,1_subsp,2019-05-22,1,168,0,0,0
3_54_01,2019,1_subsp,2019-05-22,2,208,8,0,0
3_54_01,2019,1_subsp,2019-05-22,3,176,12,0,0
3_54_02,2019,1_subsp,2019-05-22,1,144,0,0,0
3_54_02,2019,1_subsp,2019-05-22,2,128,0,0,0
3_54_02,2019,1_subsp,2019-05-22,3,192,20,0,0
3_54_04,2019,1_subsp,2019-05-22,1,240,0,0,0
3_54_04,2019,1_subsp,2019-05-22,2,340,0,0,0
3_54_04,2019,1_subsp,2019-05-22,3,300,8,0,0
3_54_05,2019,1_subsp,2019-05-22,1,260,8,0,0
3_54_05,2019,1_subsp,2019-05-22,2,200,0,0,0
3_54_05,2019,1_subsp,2019-05-22,3,160,20,0,0
3_54_06,2019,1_subsp,2019-05-22,1,96,24,0,4
3_54_06,2019,1_subsp,2019-05-22,2,144,12,0,0
3_54_06,2019,1_subsp,2019-05-22,3,224,8,0,0
3_55_01,2019,1_subsp,2019-05-22,1,88,12,0,0
3_55_01,2019,1_subsp,2019-05-22,2,48,8,0,0
3_55_01,2019,1_subsp,2019-05-22,3,72,8,0,0
3_55_02,2019,1_subsp,2019-05-22,1,208,0,0,0
3_55_02,2019,1_subsp,2019-05-22,2,192,0,0,0
3_55_02,2019,1_subsp,2019-05-22,3,136,0,8,0
3_55_04,2019,1_subsp,2019-05-22,1,72,0,0,0
3_55_04,2019,1_subsp,2019-05-22,2,144,12,0,0
3_55_04,2019,1_subsp,2019-05-22,3,112,8,0,0
3_55_05,2019,1_subsp,2019-05-22,1,104,0,0,0
3_55_05,2019,1_subsp,2019-05-22,2,40,8,0,0
3_55_05,2019,1_subsp,2019-05-22,3,84,0,0,0
3_55_06,2019,1_subsp,2019-05-22,1,96,0,0,0
3_55_06,2019,1_subsp,2019-05-22,2,64,8,0,0
3_55_06,2019,1_subsp,2019-05-22,3,56,8,0,0
3_05_02,2020,2_subsp,2020-05-27,1,60,60,0,0
3_05_02,2020,2_subsp,2020-05-27,2,48,28,0,0
3_05_02,2020,2_subsp,2020-05-27,3,64,48,0,0
3_05_03,2020,2_subsp,2020-05-27,1,28,44,0,0
3_05_03,2020,2_subsp,2020-05-27,2,32,64,0,0
3_05_03,2020,2_subsp,2020-05-27,3,36,28,0,0
3_05_04,2020,2_subsp,2020-05-27,1,56,36,0,0
3_05_04,2020,2_subsp,2020-05-27,2,24,32,0,0
3_05_04,2020,2_subsp,2020-05-27,3,44,32,0,0
3_05_05,2020,2_subsp,2020-05-27,1,52,32,0,0
3_05_05,2020,2_subsp,2020-05-27,2,60,8,0,0
3_05_05,2020,2_subsp,2020-05-27,3,68,32,0,0
3_05_06,2020,2_subsp,2020-05-27,1,92,56,0,0
3_05_06,2020,2_subsp,2020-05-27,2,60,76,0,0
3_05_06,2020,2_subsp,2020-05-27,3,56,12,0,0
3_06_02,2020,2_subsp,2020-05-27,1,108,0,0,0
3_06_02,2020,2_subsp,2020-05-27,2,120,0,0,0
3_06_02,2020,2_subsp,2020-05-27,3,80,0,0,0
3_06_03,2020,2_subsp,2020-05-27,1,56,0,0,0
3_06_03,2020,2_subsp,2020-05-27,2,64,0,0,0
3_06_03,2020,2_subsp,2020-05-27,3,68,0,0,0
3_06_04,2020,2_subsp,2020-05-27,1,72,0,0,0
3_06_04,2020,2_subsp,2020-05-27,2,84,0,0,0
3_06_04,2020,2_subsp,2020-05-27,3,60,0,0,0
3_06_05,2020,2_subsp,2020-05-27,1,100,0,0,0
3_06_05,2020,2_subsp,2020-05-27,2,120,0,0,0
3_06_05,2020,2_subsp,2020-05-27,3,100,0,0,0
3_06_06,2020,2_subsp,2020-05-27,1,112,0,0,0
3_06_06,2020,2_subsp,2020-05-27,2,100,0,0,0
3_06_06,2020,2_subsp,2020-05-27,3,100,0,0,0
3_08_02,2020,2_subsp,2020-05-27,1,20,56,0,0
3_08_02,2020,2_subsp,2020-05-27,2,36,20,4,0
3_08_02,2020,2_subsp,2020-05-27,3,16,16,4,0
3_08_03,2020,2_subsp,2020-05-27,1,12,32,0,0
3_08_03,2020,2_subsp,2020-05-27,2,24,16,0,0
3_08_03,2020,2_subsp,2020-05-27,3,32,16,0,0
3_08_04,2020,2_subsp,2020-05-27,1,16,28,16,0
3_08_04,2020,2_subsp,2020-05-27,2,16,24,12,0
3_08_04,2020,2_subsp,2020-05-27,3,16,44,0,0
3_08_05,2020,2_subsp,2020-05-27,1,12,4,0,0
3_08_05,2020,2_subsp,2020-05-27,2,48,8,0,0
3_08_05,2020,2_subsp,2020-05-27,3,52,8,4,0
3_08_06,2020,2_subsp,2020-05-27,1,24,20,0,0
3_08_06,2020,2_subsp,2020-05-27,2,8,96,0,0
3_08_06,2020,2_subsp,2020-05-27,3,8,40,0,0
3_14_02,2020,2_subsp,2020-05-27,1,20,12,24,0
3_14_02,2020,2_subsp,2020-05-27,2,40,48,0,0
3_14_02,2020,2_subsp,2020-05-27,3,52,24,0,0
3_14_03,2020,2_subsp,2020-05-27,1,32,24,0,0
3_14_03,2020,2_subsp,2020-05-27,2,36,32,0,0
3_14_03,2020,2_subsp,2020-05-27,3,16,56,0,0
3_14_04,2020,2_subsp,2020-05-27,1,28,36,0,0
3_14_04,2020,2_subsp,2020-05-27,2,28,24,0,0
3_14_04,2020,2_subsp,2020-05-27,3,44,40,0,0
3_14_05,2020,2_subsp,2020-05-27,1,32,36,12,0
3_14_05,2020,2_subsp,2020-05-27,2,60,20,8,0
3_14_05,2020,2_subsp,2020-05-27,3,24,16,0,0
3_14_06,2020,2_subsp,2020-05-27,1,88,32,0,0
3_14_06,2020,2_subsp,2020-05-27,2,116,32,0,0
3_14_06,2020,2_subsp,2020-05-27,3,88,12,0,0
3_15_02,2020,2_subsp,2020-05-27,1,20,4,40,0
3_15_02,2020,2_subsp,2020-05-27,2,52,8,40,0
3_15_02,2020,2_subsp,2020-05-27,3,40,44,16,0
3_15_03,2020,2_subsp,2020-05-27,1,0,28,0,0
3_15_03,2020,2_subsp,2020-05-27,2,8,16,0,0
3_15_03,2020,2_subsp,2020-05-27,3,16,28,8,0
3_15_04,2020,2_subsp,2020-05-27,1,8,0,12,0
3_15_04,2020,2_subsp,2020-05-27,2,40,0,0,0
3_15_04,2020,2_subsp,2020-05-27,3,8,12,0,0
3_15_05,2020,2_subsp,2020-05-27,1,8,16,0,0
3_15_05,2020,2_subsp,2020-05-27,2,8,4,12,0
3_15_05,2020,2_subsp,2020-05-27,3,24,16,8,0
3_15_06,2020,2_subsp,2020-05-27,1,8,16,0,0
3_15_06,2020,2_subsp,2020-05-27,2,8,4,0,0
3_15_06,2020,2_subsp,2020-05-27,3,40,20,0,0
