plot_id,year,exp_year,date2,subrep,dicot,monocot,cirar,equar
3_05_02,2019,1_subsp,2019-05-22,1,324,0,0,0
3_05_02,2019,1_subsp,2019-05-22,2,340,12,0,0
3_05_02,2019,1_subsp,2019-05-22,3,224,16,0,0
3_05_03,2019,1_subsp,2019-05-22,1,144,0,0,0
3_05_03,2019,1_subsp,2019-05-22,2,176,0,0,0
3_05_03,2019,1_subsp,2019-05-22,3,184,12,0,0
3_05_04,2019,1_subsp,2019-05-22,1,168,12,0,0
3_05_04,2019,1_subsp,2019-05-22,2,248,0,0,0
3_05_04,2019,1_subsp,2019-05-22,3,224,12,0,0
3_05_05,2019,1_subsp,2019-05-22,1,232,8,0,0
3_05_05,2019,1_subsp,2019-05-22,2,272,16,0,0
3_05_05,2019,1_subsp,2019-05-22,3,264,12,0,0
3_05_06,2019,1_subsp,2019-05-22,1,248,20,0,0
3_05_06,2019,1_subsp,2019-05-22,2,176,12,0,0
3_05_06,2019,1_subsp,2019-05-22,3,264,8,0,0
3_06_02,2019,1_subsp,2019-05-22,1,312,0,0,0
3_06_02,2019,1_subsp,2019-05-22,2,208,0,0,0
3_06_02,2019,1_subsp,2019-05-22,3,208,0,0,0
3_06_03,2019,1_subsp,2019-05-22,1,224,0,0,0
3_06_03,2019,1_subsp,2019-05-22,2,152,0,0,0
3_06_03,2019,1_subsp,2019-05-22,3,208,8,0,0
3_06_04,2019,1_subsp,2019-05-22,1,256,0,0,0
3_06_04,2019,1_subsp,2019-05-22,2,304,0,0,0
3_06_04,2019,1_subsp,2019-05-22,3,320,12,0,0
3_06_05,2019,1_subsp,2019-05-22,1,384,0,0,0
3_06_05,2019,1_subsp,2019-05-22,2,480,0,0,0
3_06_05,2019,1_subsp,2019-05-22,3,480,12,0,0
3_06_06,2019,1_subsp,2019-05-22,1,480,0,0,0
3_06_06,2019,1_subsp,2019-05-22,2,400,8,0,0
3_06_06,2019,1_subsp,2019-05-22,3,352,12,0,0
3_08_02,2019,1_subsp,2019-05-22,1,120,0,0,0
3_08_02,2019,1_subsp,2019-05-22,2,32,12,0,4
3_08_02,2019,1_subsp,2019-05-22,3,88,8,0,0
3_08_03,2019,1_subsp,2019-05-22,1,28,4,0,0
3_08_03,2019,1_subsp,2019-05-22,2,8,12,0,0
3_08_03,2019,1_subsp,2019-05-22,3,36,8,0,0
3_08_04,2019,1_subsp,2019-05-22,1,20,80,0,0
3_08_04,2019,1_subsp,2019-05-22,2,44,28,0,0
3_08_04,2019,1_subsp,2019-05-22,3,12,8,8,0
3_08_05,2019,1_subsp,2019-05-22,1,24,32,0,0
3_08_05,2019,1_subsp,2019-05-22,2,56,40,0,0
3_08_05,2019,1_subsp,2019-05-22,3,48,16,0,8
3_08_06,2019,1_subsp,2019-05-22,1,24,8,0,0
3_08_06,2019,1_subsp,2019-05-22,2,36,200,0,0
3_08_06,2019,1_subsp,2019-05-22,3,56,24,0,0
3_14_02,2019,1_subsp,2019-05-22,1,200,0,64,0
3_14_02,2019,1_subsp,2019-05-22,2,224,0,0,0
3_14_02,2019,1_subsp,2019-05-22,3,232,0,0,0
3_14_03,2019,1_subsp,2019-05-22,1,144,0,0,0
3_14_03,2019,1_subsp,2019-05-22,2,168,0,0,0
3_14_03,2019,1_subsp,2019-05-22,3,184,0,0,0
3_14_04,2019,1_subsp,2019-05-22,1,128,8,0,0
3_14_04,2019,1_subsp,2019-05-22,2,168,0,0,0
3_14_04,2019,1_subsp,2019-05-22,3,208,12,0,0
3_14_05,2019,1_subsp,2019-05-22,1,60,0,28,0
3_14_05,2019,1_subsp,2019-05-22,2,48,0,0,0
3_14_05,2019,1_subsp,2019-05-22,3,144,0,0,0
3_14_06,2019,1_subsp,2019-05-22,1,132,8,0,0
3_14_06,2019,1_subsp,2019-05-22,2,232,0,0,0
3_14_06,2019,1_subsp,2019-05-22,3,160,0,0,0
3_15_02,2019,1_subsp,2019-05-22,1,40,0,12,0
3_15_02,2019,1_subsp,2019-05-22,2,0,0,44,0
3_15_02,2019,1_subsp,2019-05-22,3,92,0,12,0
3_15_03,2019,1_subsp,2019-05-22,1,24,0,0,0
